flight_id,airline,flight_number,aircraft_type,departure_airport,arrival_airport,scheduled_departure_time,actual_departure_time,scheduled_arrival_time,actual_arrival_time,gate,terminal,created_at
FL7492-485,American Airlines,363,Boeing 737,ORD,JFK,2024-06-16 01:19:00,2024-06-16 00:39:00,2024-06-16 03:19:00,2024-06-16 02:56:00,C4,3,2024-05-07 23:07:24
FL8473-881,Southwest Airlines,154,Airbus A380,ORD,JFK,2024-05-12 19:14:10,2024-05-12 18:45:10,2024-05-12 21:14:10,2024-05-12 20:53:10,B10,4,2024-01-23 02:36:09
FL3568-720,Delta Air Lines,821,Boeing 777,JFK,LAX,2024-02-22 08:44:44,2024-02-22 08:40:44,2024-02-22 10:44:44,2024-02-22 10:36:44,B7,2,2024-03-28 07:19:18
FL9699-180,Delta Air Lines,899,Boeing 777,ATL,JFK,2024-04-17 07:10:37,2024-04-17 06:46:37,2024-04-17 09:10:37,2024-04-17 08:31:37,B7,3,2024-04-13 01:19:04
FL5641-797,United Airlines,704,Airbus A320,ATL,LAX,2024-07-07 21:46:59,2024-07-07 21:10:59,2024-07-07 23:46:59,2024-07-07 23:12:59,A13,4,2024-02-05 13:22:23
FL7370-206,American Airlines,539,Boeing 737,ATL,LAX,2024-04-23 10:28:51,2024-04-23 10:12:51,2024-04-23 12:28:51,2024-04-23 13:09:51,A6,1,2024-03-24 14:31:33
FL2928-649,JetBlue Airways,356,Airbus A380,ORD,LAX,2024-03-21 15:43:58,2024-03-21 15:17:58,2024-03-21 17:43:58,2024-03-21 17:44:58,C5,2,2024-07-02 13:12:34
FL4792-506,American Airlines,612,Boeing 777,SFO,ORD,2024-02-15 06:52:55,2024-02-15 07:10:55,2024-02-15 08:52:55,2024-02-15 08:25:55,B15,2,2024-05-29 08:24:31
FL1016-967,JetBlue Airways,467,Boeing 737,ORD,ORD,2024-05-02 06:22:49,2024-05-02 06:25:49,2024-05-02 08:22:49,2024-05-02 07:40:49,A13,2,2024-06-14 12:27:18
FL8011-475,United Airlines,573,Boeing 777,LAX,LAX,2024-06-09 13:27:43,2024-06-09 13:48:43,2024-06-09 15:27:43,2024-06-09 15:46:43,A1,1,2024-02-04 01:17:14
FL3926-195,JetBlue Airways,517,Boeing 777,ATL,JFK,2024-04-09 05:32:20,2024-04-09 05:35:20,2024-04-09 07:32:20,2024-04-09 07:43:20,C6,2,2024-02-01 18:48:11
FL2600-395,United Airlines,651,Airbus A380,JFK,SFO,2024-02-21 02:44:26,2024-02-21 02:02:26,2024-02-21 04:44:26,2024-02-21 04:00:26,C5,4,2024-06-29 15:35:04
FL4890-617,Delta Air Lines,129,Boeing 777,LAX,LAX,2024-01-22 05:10:31,2024-01-22 04:31:31,2024-01-22 07:10:31,2024-01-22 06:50:31,B3,2,2024-04-14 14:45:37
FL6187-389,American Airlines,430,Boeing 737,JFK,ORD,2024-05-23 09:08:14,2024-05-23 08:46:14,2024-05-23 11:08:14,2024-05-23 10:24:14,C9,2,2024-04-21 08:08:01
FL4857-397,American Airlines,536,Boeing 777,ORD,ATL,2024-01-25 05:59:55,2024-01-25 05:59:55,2024-01-25 07:59:55,2024-01-25 07:44:55,B6,3,2024-02-07 12:57:11
FL4579-421,JetBlue Airways,603,Boeing 777,ATL,ATL,2024-01-19 19:11:24,2024-01-19 18:56:24,2024-01-19 21:11:24,2024-01-19 21:44:24,B14,4,2024-07-01 08:14:37
FL2445-781,Delta Air Lines,718,Airbus A380,ORD,SFO,2024-03-13 04:29:49,2024-03-13 04:16:49,2024-03-13 06:29:49,2024-03-13 06:51:49,A10,4,2024-04-25 16:43:59
FL5461-748,JetBlue Airways,330,Airbus A380,JFK,JFK,2024-05-22 16:00:25,2024-05-22 16:25:25,2024-05-22 18:00:25,2024-05-22 18:20:25,B9,4,2024-07-11 09:56:12
FL9319-880,American Airlines,973,Boeing 737,LAX,LAX,2024-03-08 20:40:50,2024-03-08 20:55:50,2024-03-08 22:40:50,2024-03-08 22:13:50,C12,2,2024-05-10 11:42:23
FL5656-661,Southwest Airlines,542,Airbus A320,ORD,LAX,2024-03-08 13:37:51,2024-03-08 13:12:51,2024-03-08 15:37:51,2024-03-08 16:26:51,A8,2,2024-05-27 21:16:11
FL9364-800,JetBlue Airways,658,Airbus A320,ORD,ORD,2024-02-27 14:59:12,2024-02-27 15:07:12,2024-02-27 16:59:12,2024-02-27 16:59:12,A15,2,2024-06-24 16:53:58
FL2389-599,American Airlines,254,Airbus A320,ORD,JFK,2024-04-04 21:01:07,2024-04-04 20:16:07,2024-04-04 23:01:07,2024-04-04 23:42:07,A15,2,2024-05-29 18:45:27
FL2275-373,Southwest Airlines,498,Boeing 777,JFK,LAX,2024-02-23 23:33:45,2024-02-23 23:19:45,2024-02-24 01:33:45,2024-02-24 01:46:45,A9,4,2024-07-08 18:54:43
FL9936-484,JetBlue Airways,734,Boeing 777,JFK,LAX,2024-02-11 02:48:05,2024-02-11 03:11:05,2024-02-11 04:48:05,2024-02-11 05:12:05,B12,4,2024-02-09 10:52:24
FL5054-568,JetBlue Airways,156,Boeing 737,ATL,ORD,2024-01-24 11:24:29,2024-01-24 11:49:29,2024-01-24 13:24:29,2024-01-24 13:23:29,B8,2,2024-01-17 00:44:34
FL5409-852,Delta Air Lines,409,Boeing 777,ORD,ORD,2024-02-19 02:18:24,2024-02-19 01:54:24,2024-02-19 04:18:24,2024-02-19 04:21:24,B7,4,2024-02-27 14:31:41
FL2241-400,JetBlue Airways,191,Airbus A320,ORD,JFK,2024-03-25 06:50:32,2024-03-25 07:27:32,2024-03-25 08:50:32,2024-03-25 08:48:32,A10,1,2024-02-03 14:01:51
FL4097-277,Delta Air Lines,377,Airbus A380,ORD,SFO,2024-06-14 01:29:53,2024-06-14 01:40:53,2024-06-14 03:29:53,2024-06-14 03:34:53,B13,1,2024-04-09 03:42:34
FL2423-937,Southwest Airlines,893,Boeing 777,ORD,ATL,2024-06-06 23:40:26,2024-06-06 22:57:26,2024-06-07 01:40:26,2024-06-07 01:57:26,C4,4,2024-06-19 10:39:39
FL8238-524,United Airlines,819,Boeing 777,LAX,ORD,2024-06-03 05:11:56,2024-06-03 05:17:56,2024-06-03 07:11:56,2024-06-03 07:01:56,C11,1,2024-04-14 02:52:12
FL7939-624,Southwest Airlines,141,Airbus A380,ATL,ORD,2024-02-05 09:46:56,2024-02-05 09:22:56,2024-02-05 11:46:56,2024-02-05 11:42:56,C5,1,2024-07-04 11:04:31
FL7542-175,American Airlines,762,Boeing 737,ATL,ORD,2024-05-06 09:44:03,2024-05-06 09:54:03,2024-05-06 11:44:03,2024-05-06 12:08:03,C5,2,2024-01-06 11:10:02
FL2304-358,Delta Air Lines,281,Boeing 777,LAX,SFO,2024-04-11 09:33:56,2024-04-11 09:31:56,2024-04-11 11:33:56,2024-04-11 11:16:56,A14,3,2024-05-05 13:00:00
FL4949-143,Southwest Airlines,476,Boeing 777,ORD,JFK,2024-04-14 02:24:35,2024-04-14 01:46:35,2024-04-14 04:24:35,2024-04-14 04:04:35,A11,2,2024-03-03 17:28:35
FL9575-113,Delta Air Lines,601,Airbus A320,ORD,SFO,2024-04-22 11:21:44,2024-04-22 10:53:44,2024-04-22 13:21:44,2024-04-22 13:32:44,B13,4,2024-04-22 20:36:56
FL1469-488,Delta Air Lines,922,Boeing 777,SFO,ORD,2024-02-28 18:35:53,2024-02-28 17:59:53,2024-02-28 20:35:53,2024-02-28 19:50:53,A2,4,2024-02-06 08:01:52
FL2135-191,Southwest Airlines,223,Airbus A380,ORD,SFO,2024-06-17 03:12:45,2024-06-17 03:05:45,2024-06-17 05:12:45,2024-06-17 04:47:45,C9,1,2024-01-03 10:29:48
FL5318-297,JetBlue Airways,181,Boeing 777,ATL,SFO,2024-04-24 13:29:51,2024-04-24 13:48:51,2024-04-24 15:29:51,2024-04-24 14:46:51,B1,2,2024-05-23 15:26:10
FL7876-421,United Airlines,689,Boeing 777,ORD,LAX,2024-02-06 05:09:03,2024-02-06 04:46:03,2024-02-06 07:09:03,2024-02-06 06:53:03,B7,2,2024-03-13 01:30:17
FL8313-690,Southwest Airlines,698,Boeing 737,ORD,ATL,2024-01-05 19:19:27,2024-01-05 19:34:27,2024-01-05 21:19:27,2024-01-05 21:39:27,A10,4,2024-06-15 12:14:41
FL3374-237,Delta Air Lines,632,Airbus A380,JFK,ATL,2024-05-17 12:40:44,2024-05-17 13:12:44,2024-05-17 14:40:44,2024-05-17 15:03:44,B10,2,2024-01-09 00:32:42
FL9893-986,American Airlines,802,Airbus A380,SFO,ORD,2024-01-30 07:55:12,2024-01-30 07:10:12,2024-01-30 09:55:12,2024-01-30 10:22:12,B10,3,2024-04-02 01:57:30
FL2933-354,Southwest Airlines,371,Boeing 737,LAX,JFK,2024-03-01 12:34:36,2024-03-01 12:32:36,2024-03-01 14:34:36,2024-03-01 14:30:36,B11,1,2024-03-11 02:36:00
FL1252-758,United Airlines,729,Airbus A380,ORD,SFO,2024-06-09 18:04:29,2024-06-09 17:42:29,2024-06-09 20:04:29,2024-06-09 20:16:29,B11,1,2024-06-17 00:30:34
FL8526-742,American Airlines,985,Airbus A320,ATL,JFK,2024-06-19 16:23:47,2024-06-19 16:08:47,2024-06-19 18:23:47,2024-06-19 18:21:47,C2,1,2024-05-19 17:56:50
FL5152-637,American Airlines,302,Airbus A380,LAX,ATL,2024-05-09 16:52:02,2024-05-09 16:48:02,2024-05-09 18:52:02,2024-05-09 19:23:02,C15,1,2024-02-19 04:42:19
FL5299-777,Delta Air Lines,125,Airbus A320,ATL,SFO,2024-05-15 21:55:51,2024-05-15 22:23:51,2024-05-15 23:55:51,2024-05-15 23:10:51,A5,2,2024-03-15 21:01:19
FL7607-935,United Airlines,136,Airbus A380,JFK,SFO,2024-07-03 09:22:14,2024-07-03 09:54:14,2024-07-03 11:22:14,2024-07-03 12:00:14,A12,3,2024-06-15 00:42:56
FL5223-943,Delta Air Lines,233,Boeing 777,ORD,ATL,2024-02-18 10:12:49,2024-02-18 10:31:49,2024-02-18 12:12:49,2024-02-18 12:06:49,B5,3,2024-04-01 01:19:55
FL8104-743,United Airlines,907,Boeing 777,SFO,SFO,2024-03-13 05:30:40,2024-03-13 04:47:40,2024-03-13 07:30:40,2024-03-13 06:50:40,B15,3,2024-06-23 18:59:16
FL3063-247,Delta Air Lines,250,Boeing 737,ORD,SFO,2024-03-23 10:43:26,2024-03-23 10:39:26,2024-03-23 12:43:26,2024-03-23 12:53:26,A6,2,2024-03-27 10:06:15
FL9039-845,Southwest Airlines,831,Boeing 777,SFO,ORD,2024-01-06 14:19:30,2024-01-06 13:58:30,2024-01-06 16:19:30,2024-01-06 17:03:30,B9,4,2024-03-10 03:03:54
FL3938-183,Southwest Airlines,438,Boeing 777,JFK,ORD,2024-05-23 02:17:59,2024-05-23 02:28:59,2024-05-23 04:17:59,2024-05-23 04:08:59,A9,4,2024-06-02 16:11:27
FL7100-198,American Airlines,179,Boeing 777,ORD,ORD,2024-06-03 11:29:03,2024-06-03 10:52:03,2024-06-03 13:29:03,2024-06-03 13:43:03,A9,1,2024-03-19 18:33:54
FL9303-160,JetBlue Airways,735,Airbus A380,SFO,SFO,2024-04-11 02:18:45,2024-04-11 02:56:45,2024-04-11 04:18:45,2024-04-11 03:48:45,B3,3,2024-01-29 22:43:16
FL7567-254,Southwest Airlines,950,Boeing 737,JFK,SFO,2024-03-19 19:11:55,2024-03-19 19:18:55,2024-03-19 21:11:55,2024-03-19 20:52:55,A4,1,2024-02-25 08:33:11
FL1883-642,United Airlines,500,Airbus A320,ORD,SFO,2024-07-10 00:06:41,2024-07-10 00:36:41,2024-07-10 02:06:41,2024-07-10 01:49:41,A11,3,2024-05-25 11:42:27
FL6180-893,United Airlines,320,Airbus A320,JFK,ORD,2024-01-07 05:04:03,2024-01-07 04:44:03,2024-01-07 07:04:03,2024-01-07 06:46:03,C13,3,2024-04-28 07:16:49
FL6770-263,Delta Air Lines,109,Airbus A320,JFK,ORD,2024-02-04 17:40:22,2024-02-04 17:48:22,2024-02-04 19:40:22,2024-02-04 19:50:22,A11,3,2024-06-30 03:44:45
FL3164-261,Delta Air Lines,831,Boeing 777,SFO,ATL,2024-06-12 00:12:53,2024-06-12 00:06:53,2024-06-12 02:12:53,2024-06-12 02:25:53,B3,2,2024-05-15 13:12:07
FL3600-769,Delta Air Lines,951,Boeing 737,ATL,ORD,2024-03-29 19:03:00,2024-03-29 19:42:00,2024-03-29 21:03:00,2024-03-29 20:53:00,C11,3,2024-06-17 12:45:28
FL4457-798,Delta Air Lines,156,Airbus A380,LAX,ATL,2024-02-19 14:30:05,2024-02-19 14:11:05,2024-02-19 16:30:05,2024-02-19 17:14:05,C11,2,2024-04-11 17:37:44
FL4989-363,JetBlue Airways,139,Airbus A320,ORD,ATL,2024-05-28 05:34:59,2024-05-28 05:31:59,2024-05-28 07:34:59,2024-05-28 07:11:59,A2,4,2024-04-28 21:43:36
FL6278-401,JetBlue Airways,787,Airbus A380,LAX,LAX,2024-03-17 03:11:38,2024-03-17 03:35:38,2024-03-17 05:11:38,2024-03-17 04:32:38,A1,3,2024-02-28 13:32:45
FL6825-441,JetBlue Airways,440,Airbus A320,SFO,ATL,2024-02-20 01:23:16,2024-02-20 02:02:16,2024-02-20 03:23:16,2024-02-20 02:41:16,B5,3,2024-05-05 08:41:39
FL5743-304,American Airlines,744,Boeing 777,ORD,ATL,2024-06-25 15:34:06,2024-06-25 14:52:06,2024-06-25 17:34:06,2024-06-25 17:38:06,C2,2,2024-03-07 23:02:04
FL4049-163,American Airlines,916,Airbus A320,ORD,JFK,2024-07-05 09:31:04,2024-07-05 08:57:04,2024-07-05 11:31:04,2024-07-05 11:54:04,A3,4,2024-03-21 13:33:30
FL9571-590,American Airlines,837,Boeing 737,JFK,SFO,2024-01-24 01:46:09,2024-01-24 01:34:09,2024-01-24 03:46:09,2024-01-24 02:59:09,B6,4,2024-07-10 23:23:00
FL2836-999,United Airlines,488,Boeing 737,ATL,JFK,2024-05-07 09:09:09,2024-05-07 08:46:09,2024-05-07 11:09:09,2024-05-07 10:39:09,A10,1,2024-06-13 00:43:31
FL5779-803,American Airlines,775,Boeing 737,ATL,ATL,2024-06-29 21:50:50,2024-06-29 22:10:50,2024-06-29 23:50:50,2024-06-30 00:49:50,B1,2,2024-03-27 13:23:41
FL2939-748,United Airlines,581,Airbus A320,LAX,JFK,2024-04-30 03:34:38,2024-04-30 04:07:38,2024-04-30 05:34:38,2024-04-30 06:11:38,B6,2,2024-01-28 20:02:59
FL1152-375,United Airlines,913,Boeing 737,ORD,LAX,2024-05-11 10:57:47,2024-05-11 11:17:47,2024-05-11 12:57:47,2024-05-11 13:01:47,C14,2,2024-06-19 02:33:54
FL5390-173,United Airlines,799,Boeing 777,JFK,LAX,2024-04-10 21:45:55,2024-04-10 22:18:55,2024-04-10 23:45:55,2024-04-11 00:34:55,B12,3,2024-04-21 11:12:51
FL7600-101,American Airlines,449,Airbus A320,JFK,SFO,2024-05-18 06:02:17,2024-05-18 05:29:17,2024-05-18 08:02:17,2024-05-18 08:19:17,C8,4,2024-04-11 23:13:48
FL2233-676,Southwest Airlines,190,Airbus A380,ORD,ATL,2024-03-02 05:47:48,2024-03-02 05:09:48,2024-03-02 07:47:48,2024-03-02 08:03:48,A11,3,2024-05-21 13:50:56
FL6819-646,Delta Air Lines,289,Boeing 777,SFO,ORD,2024-04-20 10:46:02,2024-04-20 10:22:02,2024-04-20 12:46:02,2024-04-20 13:29:02,B6,1,2024-07-05 06:35:14
FL4250-920,Southwest Airlines,316,Airbus A320,ORD,SFO,2024-01-01 21:12:03,2024-01-01 21:27:03,2024-01-01 23:12:03,2024-01-01 23:03:03,B4,3,2024-01-31 12:46:32
FL7007-522,United Airlines,509,Airbus A380,JFK,ORD,2024-01-10 08:13:03,2024-01-10 07:51:03,2024-01-10 10:13:03,2024-01-10 10:33:03,B4,4,2024-03-28 07:35:45
FL9898-621,JetBlue Airways,508,Boeing 737,JFK,ORD,2024-01-14 09:49:47,2024-01-14 10:13:47,2024-01-14 11:49:47,2024-01-14 11:18:47,B14,2,2024-02-12 21:11:47
FL2661-778,United Airlines,920,Airbus A380,JFK,LAX,2024-02-11 08:47:04,2024-02-11 08:04:04,2024-02-11 10:47:04,2024-02-11 10:16:04,C12,4,2024-06-01 20:47:53
FL2295-330,Southwest Airlines,534,Boeing 777,SFO,SFO,2024-05-13 20:32:02,2024-05-13 19:58:02,2024-05-13 22:32:02,2024-05-13 22:42:02,B2,2,2024-06-23 10:28:59
FL8148-662,Delta Air Lines,240,Boeing 737,ATL,SFO,2024-04-09 03:22:19,2024-04-09 03:53:19,2024-04-09 05:22:19,2024-04-09 05:43:19,B10,2,2024-05-23 06:45:21
FL9190-407,JetBlue Airways,824,Boeing 777,LAX,ORD,2024-01-14 01:23:09,2024-01-14 02:00:09,2024-01-14 03:23:09,2024-01-14 03:30:09,B8,4,2024-05-25 02:42:51
FL6068-776,United Airlines,575,Boeing 777,JFK,JFK,2024-05-11 22:54:46,2024-05-11 23:04:46,2024-05-12 00:54:46,2024-05-12 00:47:46,B7,1,2024-03-03 14:57:48
FL2570-862,Delta Air Lines,575,Airbus A320,ORD,JFK,2024-03-16 09:37:17,2024-03-16 10:12:17,2024-03-16 11:37:17,2024-03-16 10:55:17,B6,3,2024-05-23 22:47:15
FL9469-711,Southwest Airlines,496,Airbus A320,ATL,SFO,2024-03-17 05:36:22,2024-03-17 06:01:22,2024-03-17 07:36:22,2024-03-17 06:55:22,C9,3,2024-05-07 23:53:58
FL8625-146,American Airlines,315,Airbus A320,JFK,LAX,2024-02-22 11:31:53,2024-02-22 12:14:53,2024-02-22 13:31:53,2024-02-22 12:49:53,C15,1,2024-01-30 20:07:41
FL8435-869,Delta Air Lines,495,Boeing 777,JFK,ORD,2024-03-22 01:21:13,2024-03-22 01:27:13,2024-03-22 03:21:13,2024-03-22 02:42:13,A4,2,2024-04-25 19:07:21
FL6665-123,Delta Air Lines,511,Boeing 737,SFO,SFO,2024-04-14 17:28:55,2024-04-14 17:27:55,2024-04-14 19:28:55,2024-04-14 19:37:55,B12,2,2024-01-01 11:38:46
FL7736-498,JetBlue Airways,944,Boeing 777,LAX,ATL,2024-03-24 20:25:41,2024-03-24 20:13:41,2024-03-24 22:25:41,2024-03-24 23:06:41,C5,4,2024-01-17 03:00:17
FL2113-564,United Airlines,459,Boeing 737,SFO,ATL,2024-06-05 18:51:44,2024-06-05 18:09:44,2024-06-05 20:51:44,2024-06-05 21:29:44,A8,4,2024-06-29 04:30:54
FL2882-712,Delta Air Lines,971,Airbus A380,LAX,SFO,2024-06-10 02:35:23,2024-06-10 03:10:23,2024-06-10 04:35:23,2024-06-10 04:03:23,C6,4,2024-05-01 09:56:08
FL9942-569,United Airlines,298,Boeing 777,ATL,LAX,2024-02-08 03:31:47,2024-02-08 03:28:47,2024-02-08 05:31:47,2024-02-08 05:20:47,B11,4,2024-04-07 09:35:01
FL8462-491,Delta Air Lines,783,Airbus A320,JFK,JFK,2024-01-27 21:34:27,2024-01-27 22:13:27,2024-01-27 23:34:27,2024-01-28 00:02:27,C10,4,2024-03-12 23:06:53
FL2578-301,JetBlue Airways,762,Boeing 737,JFK,LAX,2024-03-09 14:15:23,2024-03-09 14:52:23,2024-03-09 16:15:23,2024-03-09 16:10:23,A11,1,2024-02-11 03:06:23
FL6837-359,Southwest Airlines,181,Boeing 737,ORD,LAX,2024-05-13 17:20:48,2024-05-13 17:27:48,2024-05-13 19:20:48,2024-05-13 19:45:48,A6,4,2024-02-12 19:13:30
FL1727-887,United Airlines,300,Boeing 737,LAX,SFO,2024-04-01 12:08:44,2024-04-01 12:39:44,2024-04-01 14:08:44,2024-04-01 15:08:44,B15,4,2024-06-08 06:43:41
FL4587-943,JetBlue Airways,107,Boeing 737,JFK,ATL,2024-02-04 07:00:00,2024-02-04 06:17:00,2024-02-04 09:00:00,2024-02-04 09:30:00,B15,1,2024-02-29 15:29:29
FL5185-198,Southwest Airlines,941,Boeing 777,JFK,ORD,2024-06-13 00:00:16,2024-06-12 23:44:16,2024-06-13 02:00:16,2024-06-13 02:35:16,C15,2,2024-05-26 11:04:13
FL2611-176,Delta Air Lines,700,Boeing 777,JFK,JFK,2024-02-02 04:41:28,2024-02-02 05:22:28,2024-02-02 06:41:28,2024-02-02 06:26:28,A9,4,2024-04-07 00:15:51
FL4569-822,Delta Air Lines,904,Airbus A380,JFK,ATL,2024-01-08 12:29:13,2024-01-08 12:34:13,2024-01-08 14:29:13,2024-01-08 14:11:13,C4,4,2024-06-02 01:36:48
FL2269-298,JetBlue Airways,592,Boeing 777,SFO,LAX,2024-05-21 22:28:06,2024-05-21 21:59:06,2024-05-22 00:28:06,2024-05-22 00:07:06,C7,3,2024-06-16 22:37:14
FL2983-686,Southwest Airlines,545,Boeing 737,ATL,JFK,2024-01-12 19:46:54,2024-01-12 20:31:54,2024-01-12 21:46:54,2024-01-12 22:31:54,B9,2,2024-03-04 13:48:03
FL8411-843,Southwest Airlines,696,Airbus A380,LAX,LAX,2024-02-13 13:29:01,2024-02-13 13:16:01,2024-02-13 15:29:01,2024-02-13 14:44:01,C6,3,2024-02-23 06:14:54
FL2331-900,American Airlines,977,Boeing 737,SFO,JFK,2024-04-10 17:31:06,2024-04-10 16:59:06,2024-04-10 19:31:06,2024-04-10 20:14:06,C4,4,2024-04-25 23:35:12
FL4441-811,JetBlue Airways,294,Boeing 737,LAX,LAX,2024-01-17 00:54:34,2024-01-17 00:38:34,2024-01-17 02:54:34,2024-01-17 03:04:34,C9,2,2024-04-01 12:35:07
FL6787-708,JetBlue Airways,581,Airbus A320,SFO,LAX,2024-06-06 12:11:20,2024-06-06 11:49:20,2024-06-06 14:11:20,2024-06-06 13:54:20,C3,3,2024-01-15 16:41:29
FL8507-674,American Airlines,950,Airbus A320,JFK,LAX,2024-05-04 07:00:05,2024-05-04 07:30:05,2024-05-04 09:00:05,2024-05-04 08:36:05,B6,4,2024-01-26 08:51:04
FL4125-697,American Airlines,136,Airbus A380,SFO,ORD,2024-02-20 15:12:26,2024-02-20 15:57:26,2024-02-20 17:12:26,2024-02-20 16:37:26,B6,1,2024-05-02 22:58:41
FL8181-866,JetBlue Airways,374,Airbus A320,ATL,SFO,2024-05-21 03:25:37,2024-05-21 03:25:37,2024-05-21 05:25:37,2024-05-21 05:00:37,B2,4,2024-03-28 23:19:11
FL8630-427,American Airlines,625,Airbus A320,ORD,ORD,2024-01-03 15:53:44,2024-01-03 15:42:44,2024-01-03 17:53:44,2024-01-03 17:45:44,B7,4,2024-06-08 02:15:36
FL1140-144,American Airlines,782,Airbus A320,ATL,ORD,2024-04-21 12:06:10,2024-04-21 12:47:10,2024-04-21 14:06:10,2024-04-21 14:34:10,B2,4,2024-05-09 07:24:23
FL8960-870,JetBlue Airways,809,Boeing 777,LAX,JFK,2024-02-24 00:59:50,2024-02-24 01:02:50,2024-02-24 02:59:50,2024-02-24 02:23:50,B11,1,2024-03-25 11:29:55
FL4516-484,United Airlines,359,Airbus A320,ORD,ORD,2024-01-16 20:42:24,2024-01-16 21:18:24,2024-01-16 22:42:24,2024-01-16 22:26:24,B5,4,2024-02-02 17:08:26
FL2276-117,Delta Air Lines,327,Boeing 737,LAX,ATL,2024-07-01 19:24:26,2024-07-01 19:30:26,2024-07-01 21:24:26,2024-07-01 21:54:26,C2,3,2024-04-09 00:25:02
FL8819-326,Southwest Airlines,485,Boeing 737,JFK,LAX,2024-03-02 08:28:10,2024-03-02 08:20:10,2024-03-02 10:28:10,2024-03-02 09:47:10,C15,1,2024-02-06 05:29:42
FL4360-743,American Airlines,229,Airbus A380,SFO,LAX,2024-05-17 11:28:33,2024-05-17 11:55:33,2024-05-17 13:28:33,2024-05-17 13:37:33,C13,3,2024-02-29 04:21:28
FL4751-478,JetBlue Airways,829,Boeing 737,JFK,ATL,2024-06-29 18:24:24,2024-06-29 18:39:24,2024-06-29 20:24:24,2024-06-29 19:44:24,A10,3,2024-03-16 23:02:12
FL3879-918,JetBlue Airways,809,Airbus A320,LAX,LAX,2024-06-19 02:37:21,2024-06-19 01:59:21,2024-06-19 04:37:21,2024-06-19 05:17:21,A13,2,2024-06-07 10:40:46
FL4237-232,Delta Air Lines,653,Boeing 737,ORD,ATL,2024-06-15 01:41:40,2024-06-15 02:05:40,2024-06-15 03:41:40,2024-06-15 03:02:40,A12,2,2024-03-23 22:11:21
