hour,lat,long,signal,network,operator,status,description,speed,satellites,precission,provider,activity,postal_code
04:33:58,41.29405,1.77831,5,movistar,movistar,0,STATE_IN_SERVICE,0.0,2.0,24.0,gps,TILTING,81483.0
04:43:19,41.26269,1.77969,11,movistar,Movistar,0,STATE_IN_SERVICE,0.0,0.0,46.0,fused,STILL,82310.0
04:48:09,41.41997,2.22451,14,orange,Orange,0,STATE_IN_SERVICE,0.1,0.0,48.0,fused,STILL,81944.0
04:50:19,41.42084,2.2258,13,orange,Orange,0,STATE_IN_SERVICE,4.0,0.0,40.0,fused,STILL,81944.0
04:52:54,41.42262,2.22163,13,orange,Orange,0,STATE_IN_SERVICE,9.3,0.0,36.0,fused,STILL,81944.0
04:55:09,41.4199,2.22438,13,orange,Orange,0,STATE_IN_SERVICE,10.1,0.0,36.0,fused,STILL,81944.0
04:57:31,41.42262,2.22163,13,orange,Orange,0,STATE_IN_SERVICE,9.6,0.0,36.0,fused,STILL,81944.0
04:58:09,40.54745,0.52233,2,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,1.0,33.0,gps,STILL,430043.0
04:59:31,41.95525,2.63967,17,orange,JAZZTEL,0,STATE_IN_SERVICE,0.0,4.0,18.0,gps,STILL,170084.0
05:00:50,7.6707,98.76449,4,DTAC,DTAC,0,STATE_IN_SERVICE,21.4,5.0,23.0,gps,UNKNOWN,
05:01:39,7.67138,98.76692,4,DTAC,DTAC,0,STATE_IN_SERVICE,20.5,5.0,34.0,gps,STILL,
05:02:25,7.67278,98.76892,6,DTAC,DTAC,0,STATE_IN_SERVICE,21.1,8.0,4.0,gps,IN_VEHICLE,
05:02:28,41.41994,2.22447,13,orange,Orange,0,STATE_IN_SERVICE,4.6,0.0,36.0,fused,STILL,81944.0
05:03:13,7.67427,98.77094,6,DTAC,DTAC,0,STATE_IN_SERVICE,20.8,4.0,11.0,gps,IN_VEHICLE,
05:03:22,41.54544,1.89627,14,orange,Orange,0,STATE_IN_SERVICE,0.0,0.0,36.0,fused,IN_VEHICLE,81477.0
05:03:59,7.67633,98.77247,18,DTAC,DTAC,0,STATE_IN_SERVICE,22.1,4.0,3.0,gps,TILTING,
05:04:32,41.42084,2.2258,13,orange,Orange,0,STATE_IN_SERVICE,4.3,0.0,40.0,fused,STILL,81944.0
05:04:46,7.67852,98.77364,13,DTAC,DTAC,0,STATE_IN_SERVICE,21.1,2.0,11.0,gps,TILTING,
05:05:33,7.68088,98.77294,11,DTAC,DTAC,0,STATE_IN_SERVICE,20.9,6.0,13.0,gps,STILL,
05:06:36,7.68388,98.77147,10,DTAC,DTAC,0,STATE_IN_SERVICE,21.1,5.0,23.0,gps,IN_VEHICLE,
05:06:36,41.42259,2.22172,13,orange,Orange,0,STATE_IN_SERVICE,11.4,0.0,40.0,fused,STILL,81944.0
05:07:28,7.68682,98.77052,10,DTAC,DTAC,0,STATE_IN_SERVICE,23.7,4.0,23.0,gps,IN_VEHICLE,
05:08:17,7.68867,98.76923,12,DTAC,DTAC,0,STATE_IN_SERVICE,18.3,4.0,11.0,gps,IN_VEHICLE,
05:09:03,7.69064,98.76892,12,DTAC,DTAC,0,STATE_IN_SERVICE,17.2,5.0,11.0,gps,IN_VEHICLE,
05:09:49,7.69233,98.76799,13,DTAC,DTAC,0,STATE_IN_SERVICE,16.7,5.0,4.0,gps,TILTING,
05:10:36,7.69474,98.76818,13,DTAC,DTAC,0,STATE_IN_SERVICE,20.5,10.0,3.0,gps,IN_VEHICLE,
05:11:25,7.6976,98.76895,13,DTAC,DTAC,0,STATE_IN_SERVICE,24.1,6.0,25.0,gps,IN_VEHICLE,
05:12:14,7.70057,98.76977,12,DTAC,DTAC,0,STATE_IN_SERVICE,25.0,7.0,22.0,gps,IN_VEHICLE,
05:13:00,7.70327,98.77076,12,DTAC,DTAC,0,STATE_IN_SERVICE,24.9,7.0,4.0,gps,TILTING,
05:13:46,7.70595,98.77161,19,DTAC,DTAC,0,STATE_IN_SERVICE,24.3,5.0,4.0,gps,IN_VEHICLE,
05:14:40,7.70922,98.77215,11,DTAC,DTAC,0,STATE_IN_SERVICE,24.4,2.0,44.0,gps,IN_VEHICLE,
05:15:29,7.71211,98.7729,13,DTAC,DTAC,0,STATE_IN_SERVICE,24.3,3.0,27.0,gps,IN_VEHICLE,
05:16:21,7.7154,98.77331,13,DTAC,DTAC,0,STATE_IN_SERVICE,25.3,1.0,14.0,gps,STILL,
05:17:15,7.71868,98.77336,13,DTAC,DTAC,0,STATE_IN_SERVICE,24.2,2.0,38.0,gps,STILL,
05:18:05,41.6209,2.67625,14,movistar,Movistar,0,STATE_IN_SERVICE,0.0,1.0,37.0,gps,STILL,81635.0
05:26:28,41.2938,1.77834,5,movistar,movistar,0,STATE_IN_SERVICE,0.0,2.0,21.0,gps,TILTING,81483.0
05:27:54,41.82557,1.89581,13,yoigo,YOIGO,0,STATE_IN_SERVICE,0.0,4.0,32.0,gps,ON_FOOT,81918.0
05:28:14,41.82605,1.89569,14,yoigo,YOIGO,0,STATE_IN_SERVICE,10.0,1.0,128.0,gps,ON_FOOT,81918.0
05:35:57,7.73746,98.77037,16,DTAC,DTAC,0,STATE_IN_SERVICE,6.7,2.0,29.0,gps,TILTING,
05:44:19,7.73792,98.7707,15,DTAC,DTAC,0,STATE_IN_SERVICE,0.4,10.0,8.0,gps,ON_FOOT,
05:46:51,7.73902,98.77089,10,DTAC,DTAC,0,STATE_IN_SERVICE,2.9,2.0,29.0,gps,ON_FOOT,
05:48:57,7.73983,98.77064,9,DTAC,DTAC,0,STATE_IN_SERVICE,2.7,6.0,15.0,gps,ON_FOOT,
05:49:22,7.74,98.77053,9,DTAC,DTAC,0,STATE_IN_SERVICE,3.2,3.0,11.0,gps,ON_FOOT,
05:51:26,7.73915,98.77086,9,DTAC,DTAC,0,STATE_IN_SERVICE,2.9,2.0,10.0,gps,ON_FOOT,
05:53:43,7.73846,98.77245,9,DTAC,DTAC,0,STATE_IN_SERVICE,5.0,8.0,14.0,gps,ON_FOOT,
05:55:38,7.73841,98.77287,9,DTAC,DTAC,0,STATE_IN_SERVICE,1.5,2.0,20.0,gps,ON_FOOT,
05:56:34,7.7391,98.77303,9,DTAC,DTAC,0,STATE_IN_SERVICE,5.0,2.0,13.0,gps,ON_FOOT,
05:57:56,7.73991,98.77305,9,DTAC,DTAC,0,STATE_IN_SERVICE,4.0,4.0,7.0,gps,ON_FOOT,
05:58:10,41.29385,1.77786,5,movistar,movistar,0,STATE_IN_SERVICE,0.1,2.0,32.0,gps,TILTING,81483.0
05:58:42,41.42253,2.22105,17,orange,Orange,0,STATE_IN_SERVICE,0.1,4.0,48.0,gps,ON_BICYCLE,81944.0
05:59:23,7.74057,98.7735,9,DTAC,DTAC,0,STATE_IN_SERVICE,3.7,4.0,19.0,gps,ON_FOOT,
05:59:33,41.42282,2.22147,16,orange,Orange,0,STATE_IN_SERVICE,3.4,7.0,16.0,gps,TILTING,81944.0
06:00:42,40.54726,0.52236,29,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,1.0,33.0,gps,STILL,430043.0
06:01:03,7.74153,98.7742,9,DTAC,DTAC,0,STATE_IN_SERVICE,4.7,4.0,28.0,gps,ON_FOOT,
06:02:24,7.74155,98.77449,9,DTAC,DTAC,0,STATE_IN_SERVICE,1.4,6.0,30.0,gps,STILL,
06:02:50,7.74168,98.77472,9,DTAC,DTAC,0,STATE_IN_SERVICE,4.0,6.0,13.0,gps,STILL,
06:03:04,42.23218,2.28577,11,movistar,Movistar,0,STATE_IN_SERVICE,0.0,5.0,32.0,gps,UNKNOWN,171674.0
06:03:44,42.23277,2.28606,11,movistar,Movistar,0,STATE_IN_SERVICE,6.2,9.0,16.0,gps,ON_FOOT,171674.0
06:04:15,7.74223,98.77442,9,DTAC,DTAC,0,STATE_IN_SERVICE,2.9,7.0,14.0,gps,ON_FOOT,
06:06:09,7.74255,98.77384,9,DTAC,DTAC,0,STATE_IN_SERVICE,2.3,7.0,8.0,gps,ON_FOOT,
06:06:35,7.74276,98.77361,9,DTAC,DTAC,0,STATE_IN_SERVICE,4.7,4.0,23.0,gps,ON_FOOT,
06:07:49,7.7433,98.77378,9,DTAC,DTAC,0,STATE_IN_SERVICE,3.0,10.0,21.0,gps,ON_FOOT,
06:08:39,41.20884,1.55523,4,orange,Orange,0,STATE_IN_SERVICE,0.0,1.0,10.0,gps,TILTING,431634.0
06:09:13,41.29472,1.77771,5,movistar,movistar,0,STATE_IN_SERVICE,0.5,3.0,44.0,gps,TILTING,81483.0
06:10:26,7.7429,98.77426,12,DTAC,DTAC,0,STATE_IN_SERVICE,1.6,6.0,14.0,gps,ON_FOOT,
06:10:49,7.74249,98.77458,13,DTAC,DTAC,0,STATE_IN_SERVICE,8.9,6.0,11.0,gps,ON_FOOT,
06:10:54,42.22431,2.24535,7,movistar,Movistar,0,STATE_IN_SERVICE,29.2,6.0,32.0,gps,IN_VEHICLE,171674.0
06:11:10,41.42259,2.22096,17,orange,Orange,0,STATE_IN_SERVICE,0.3,4.0,32.0,gps,TILTING,81944.0
06:11:39,7.74261,98.77441,13,DTAC,DTAC,0,STATE_IN_SERVICE,1.6,5.0,19.0,gps,ON_FOOT,
06:11:57,7.74232,98.77442,13,DTAC,DTAC,0,STATE_IN_SERVICE,6.3,3.0,13.0,gps,ON_FOOT,
06:13:14,7.74312,98.77443,13,DTAC,DTAC,0,STATE_IN_SERVICE,4.1,9.0,14.0,gps,ON_FOOT,
06:14:36,7.74323,98.77426,13,DTAC,DTAC,0,STATE_IN_SERVICE,1.0,3.0,12.0,gps,UNKNOWN,
06:15:57,42.19733,2.19537,5,movistar,Movistar,0,STATE_IN_SERVICE,60.6,5.0,24.0,gps,IN_VEHICLE,171479.0
06:18:48,41.42236,2.22158,14,orange,Orange,0,STATE_IN_SERVICE,0.5,2.0,128.0,gps,TILTING,81944.0
06:21:16,41.50343,2.39185,6,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,3.0,96.0,gps,TILTING,82191.0
06:21:29,40.54751,0.52156,29,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.2,2.0,38.0,gps,STILL,430043.0
06:24:12,41.3215,2.09496,50,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,0.0,39.0,fused,STILL,81691.0
06:24:20,41.42247,2.22086,15,orange,Orange,0,STATE_IN_SERVICE,0.7,2.0,64.0,gps,TILTING,81944.0
06:26:41,42.19106,2.19868,5,movistar,Movistar,0,STATE_IN_SERVICE,8.8,6.0,16.0,gps,IN_VEHICLE,171479.0
06:30:37,41.42271,2.22131,16,orange,Orange,0,STATE_IN_SERVICE,0.4,5.0,64.0,gps,TILTING,81944.0
06:35:49,7.74333,98.77425,31,DTAC,DTAC,0,STATE_IN_SERVICE,0.0,4.0,19.0,gps,UNKNOWN,
06:38:49,42.11556,2.20511,3,movistar,Movistar,0,STATE_IN_SERVICE,40.3,6.0,32.0,gps,IN_VEHICLE,81311.0
06:40:41,41.62019,2.67609,16,movistar,Movistar,0,STATE_IN_SERVICE,0.5,0.0,44.0,gps,UNKNOWN,81635.0
06:44:51,41.85092,0.96079,11,orange,Orange,0,STATE_IN_SERVICE,0.0,5.0,11.0,gps,STILL,250791.0
06:48:53,7.74342,98.77393,12,DTAC,DTAC,0,STATE_IN_SERVICE,0.2,7.0,11.0,gps,STILL,
06:56:55,42.26562,3.01841,5,movistar,Movistar,0,STATE_IN_SERVICE,0.0,0.0,37.0,fused,ON_FOOT,172305.0
06:59:51,41.26269,1.77969,11,movistar,Movistar,0,STATE_IN_SERVICE,0.0,0.0,46.0,fused,STILL,82310.0
07:05:47,41.45927,1.95247,15,orange,Orange,0,STATE_IN_SERVICE,27.4,6.0,128.0,gps,IN_VEHICLE,81960.0
07:09:34,41.45866,1.95368,13,orange,Orange,0,STATE_IN_SERVICE,0.0,0.0,128.0,gps,UNKNOWN,81960.0
07:14:10,41.04248,0.73316,10,movistar,Movistar,0,STATE_IN_SERVICE,0.0,0.0,25.0,fused,STILL,431508.0
07:19:22,3.73862,8.79369,13,GETESA,GETESA,0,STATE_IN_SERVICE,55.0,4.0,12.0,gps,IN_VEHICLE,
07:22:56,41.40365,1.69831,27,orange,JAZZTEL,0,STATE_IN_SERVICE,0.0,6.0,19.0,gps,STILL,81748.0
07:34:50,3.75303,8.78165,14,GETESA,GETESA,0,STATE_IN_SERVICE,15.1,9.0,6.0,gps,UNKNOWN,
07:35:00,41.45847,1.95257,12,orange,Orange,0,STATE_IN_SERVICE,0.2,2.0,48.0,gps,STILL,81960.0
07:35:04,40.54719,0.52213,29,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,2.0,33.0,gps,STILL,430043.0
07:36:52,3.75507,8.78103,14,GETESA,GETESA,0,STATE_IN_SERVICE,1.4,11.0,7.0,gps,UNKNOWN,
07:39:17,41.19399,1.04537,6,orange,Orange,0,STATE_IN_SERVICE,55.7,11.0,8.0,gps,IN_VEHICLE,430075.0
07:40:40,41.04249,0.73314,10,movistar,Movistar,0,STATE_IN_SERVICE,0.0,0.0,24.0,fused,STILL,431508.0
07:40:57,41.18194,1.04741,1,orange,Orange,0,STATE_IN_SERVICE,45.8,11.0,10.0,gps,IN_VEHICLE,430810.0
07:41:30,7.74333,98.77418,16,DTAC,DTAC,0,STATE_IN_SERVICE,0.0,5.0,6.0,gps,UNKNOWN,
07:51:19,41.67118,0.5336,3,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,0.0,28.0,gps,TILTING,250236.0
07:53:10,41.4586,1.95281,10,orange,Orange,0,STATE_IN_SERVICE,0.1,7.0,16.0,gps,ON_FOOT,81960.0
07:57:20,41.30636,2.00688,12,movistar,movistar,0,STATE_IN_SERVICE,0.0,0.0,39.0,fused,TILTING,80898.0
07:57:26,41.75426,1.85907,13,movistar,Movistar,0,STATE_IN_SERVICE,14.2,7.0,29.0,gps,IN_VEHICLE,82135.0
07:57:28,41.75416,1.85938,13,movistar,Movistar,0,STATE_IN_SERVICE,62.4,7.0,7.0,gps,IN_VEHICLE,82135.0
08:03:14,41.62224,2.42686,1,movistar,Movistar,0,STATE_IN_SERVICE,0.0,5.0,18.0,gps,UNKNOWN,80752.0
08:08:33,41.3712,2.09246,1,orange,Orange,0,STATE_IN_SERVICE,8.7,5.0,32.0,gps,IN_VEHICLE,80771.0
08:09:19,41.37485,2.09293,1,orange,Orange,0,STATE_IN_SERVICE,31.8,5.0,16.0,gps,IN_VEHICLE,80771.0
08:10:14,41.61981,2.43208,0,movistar,Movistar,0,STATE_IN_SERVICE,13.0,5.0,19.0,gps,IN_VEHICLE,80752.0
08:11:13,41.61987,2.43184,6,movistar,Movistar,0,STATE_IN_SERVICE,1.3,9.0,7.0,gps,STILL,80752.0
08:14:26,41.95513,2.63948,10,orange,JAZZTEL,0,STATE_IN_SERVICE,1.5,7.0,22.0,gps,ON_FOOT,170084.0
08:15:28,41.45855,1.95257,15,orange,Orange,0,STATE_IN_SERVICE,0.1,11.0,12.0,gps,STILL,81960.0
08:16:18,41.61971,2.4331,5,movistar,Movistar,0,STATE_IN_SERVICE,1.3,8.0,14.0,gps,IN_VEHICLE,80752.0
08:24:49,3.75452,8.78078,20,GETESA,GETESA,0,STATE_IN_SERVICE,0.1,0.0,47.0,gps,UNKNOWN,
08:25:02,42.14514,2.45994,8,orange,JAZZTEL,0,STATE_IN_SERVICE,0.0,9.0,17.0,gps,ON_FOOT,171390.0
08:27:26,3.75472,8.78086,19,GETESA,GETESA,0,STATE_IN_SERVICE,0.5,3.0,22.0,gps,STILL,
08:28:34,42.14356,2.45975,5,orange,JAZZTEL,0,STATE_IN_SERVICE,3.6,7.0,26.0,gps,ON_FOOT,171390.0
08:29:49,41.45842,1.95275,15,orange,Orange,0,STATE_IN_SERVICE,0.1,2.0,24.0,gps,TILTING,81960.0
08:29:57,40.54718,0.52257,28,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,1.0,28.0,gps,STILL,430043.0
08:31:45,3.75265,8.77136,18,GETESA,GETESA,0,STATE_IN_SERVICE,28.1,4.0,36.0,gps,IN_VEHICLE,
08:32:53,3.75309,8.75865,18,GETESA,GETESA,0,STATE_IN_SERVICE,74.8,4.0,16.0,gps,IN_VEHICLE,
08:33:50,3.75073,8.75531,18,GETESA,GETESA,0,STATE_IN_SERVICE,28.7,3.0,15.0,gps,IN_VEHICLE,
08:34:36,3.75042,8.75284,18,GETESA,GETESA,0,STATE_IN_SERVICE,21.6,6.0,6.0,gps,IN_VEHICLE,
08:34:54,41.53228,1.90167,13,movistar,Movistar,0,STATE_IN_SERVICE,76.3,11.0,18.0,gps,IN_VEHICLE,80765.0
08:37:13,3.7491,8.75457,14,GETESA,GETESA,0,STATE_IN_SERVICE,5.5,4.0,10.0,gps,STILL,
08:38:25,3.74823,8.75529,13,GETESA,GETESA,0,STATE_IN_SERVICE,6.3,3.0,13.0,gps,IN_VEHICLE,
08:39:28,3.74683,8.75543,13,GETESA,GETESA,0,STATE_IN_SERVICE,8.9,2.0,23.0,gps,UNKNOWN,
08:40:00,41.53015,2.29837,6,movistar,Movistar,0,STATE_IN_SERVICE,0.0,3.0,19.0,gps,ON_FOOT,82969.0
08:40:29,41.53035,2.29862,8,movistar,Movistar,0,STATE_IN_SERVICE,3.7,0.0,26.0,gps,TILTING,82969.0
08:41:49,3.74658,8.75537,13,GETESA,GETESA,0,STATE_IN_SERVICE,0.7,2.0,9.0,gps,STILL,
08:42:13,41.53002,2.29846,3,movistar,Movistar,0,STATE_IN_SERVICE,1.3,1.0,17.0,gps,STILL,82969.0
08:44:07,41.41379,2.00634,20,movistar,Movistar,0,STATE_IN_SERVICE,121.4,4.0,12.0,gps,IN_VEHICLE,81574.0
08:44:08,41.41359,2.00651,20,movistar,Movistar,0,STATE_IN_SERVICE,117.6,4.0,13.0,gps,IN_VEHICLE,81574.0
08:45:48,3.74593,8.75542,13,GETESA,GETESA,0,STATE_IN_SERVICE,1.1,4.0,25.0,gps,STILL,
08:45:54,41.40171,2.0071,6,movistar,movistar,0,STATE_IN_SERVICE,0.0,2.0,24.0,gps,IN_VEHICLE,82634.0
08:47:47,41.40146,2.00717,4,movistar,movistar,0,STATE_IN_SERVICE,0.9,2.0,14.0,gps,IN_VEHICLE,82634.0
08:52:01,3.75394,8.7802,11,GETESA,GETESA,0,STATE_IN_SERVICE,16.6,2.0,26.0,gps,IN_VEHICLE,
08:52:06,42.21864,2.55359,14,movistar,Movistar,0,STATE_IN_SERVICE,0.0,6.0,64.0,gps,UNKNOWN,171851.0
08:52:22,41.82838,2.89273,5,movistar,Movistar,0,STATE_IN_SERVICE,0.0,0.0,128.0,gps,ON_FOOT,170890.0
08:52:52,3.75484,8.78115,11,GETESA,GETESA,0,STATE_IN_SERVICE,10.2,1.0,21.0,gps,IN_VEHICLE,
08:55:05,41.49731,2.1088,8,orange,JAZZTEL,0,STATE_IN_SERVICE,0.1,3.0,28.0,gps,TILTING,82665.0
09:02:01,41.32691,0.63851,23,Solo llamadas de emergencia,Solo llamadas de emergencia,0,STATE_IN_SERVICE,0.0,3.0,27.0,gps,TILTING,250560.0
09:02:21,41.32722,0.6386,27,Solo llamadas de emergencia,Solo llamadas de emergencia,0,STATE_IN_SERVICE,6.3,6.0,8.0,gps,ON_FOOT,250560.0
09:02:41,41.40172,2.00689,2,movistar,movistar,0,STATE_IN_SERVICE,0.2,6.0,8.0,gps,IN_VEHICLE,82634.0
09:05:34,41.32713,0.63723,26,Solo llamadas de emergencia,Solo llamadas de emergencia,0,STATE_IN_SERVICE,2.2,2.0,14.0,gps,ON_FOOT,250560.0
09:07:45,41.32536,0.63874,21,Solo llamadas de emergencia,Solo llamadas de emergencia,0,STATE_IN_SERVICE,6.4,3.0,10.0,gps,IN_VEHICLE,250560.0
09:09:03,41.32575,0.63953,17,Solo llamadas de emergencia,Solo llamadas de emergencia,0,STATE_IN_SERVICE,3.6,2.0,26.0,gps,IN_VEHICLE,250560.0
09:10:45,41.32689,0.63875,17,Solo llamadas de emergencia,Solo llamadas de emergencia,0,STATE_IN_SERVICE,5.0,9.0,14.0,gps,IN_VEHICLE,250560.0
09:14:35,41.24676,1.79691,3,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,0.0,82.0,fused,STILL,82310.0
09:17:50,41.37571,2.08778,3,movistar,movistar,0,STATE_IN_SERVICE,14.0,9.0,25.0,gps,ON_FOOT,80771.0
09:25:22,41.34592,2.07406,20,movistar,Movistar,0,STATE_IN_SERVICE,82.0,5.0,20.0,gps,IN_VEHICLE,81691.0
09:25:37,41.45867,1.95266,12,orange,Orange,0,STATE_IN_SERVICE,0.0,1.0,96.0,gps,TILTING,81960.0
09:26:15,41.95521,2.64001,7,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,0.0,37.0,fused,IN_VEHICLE,170084.0
09:27:23,41.45905,1.95233,19,orange,Orange,0,STATE_IN_SERVICE,1.7,8.0,24.0,gps,ON_FOOT,81960.0
09:28:39,41.16862,0.97659,5,orange,Orange,0,STATE_IN_SERVICE,5.8,4.0,17.0,gps,IN_VEHICLE,431286.0
09:30:46,41.53041,2.29873,6,movistar,Movistar,0,STATE_IN_SERVICE,0.1,0.0,30.0,gps,TILTING,82969.0
09:31:42,-8.05062,-34.93841,15,VIVO,VIVO,0,STATE_IN_SERVICE,0.0,7.0,23.0,gps,STILL,
09:35:56,41.63045,2.29995,12,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.0,8.0,24.0,gps,ON_FOOT,80863.0
09:37:00,-8.05085,-34.93838,14,VIVO,VIVO,0,STATE_IN_SERVICE,0.3,2.0,47.0,gps,TILTING,
09:37:14,-8.05059,-34.93843,15,VIVO,VIVO,0,STATE_IN_SERVICE,7.8,5.0,36.0,gps,TILTING,
09:39:36,-8.05084,-34.93843,15,VIVO,VIVO,0,STATE_IN_SERVICE,0.7,5.0,21.0,gps,TILTING,
09:39:38,41.34828,0.65486,11,Solo llamadas de emergencia,Solo llamadas de emergencia,0,STATE_IN_SERVICE,5.9,5.0,19.0,gps,IN_VEHICLE,251018.0
09:40:05,42.15466,2.9894,12,yoigo,Yoigo,0,STATE_IN_SERVICE,36.9,12.0,14.0,gps,IN_VEHICLE,171766.0
09:41:30,41.42602,2.21199,15,orange,JAZZTEL,0,STATE_IN_SERVICE,0.0,5.0,7.0,gps,TILTING,81944.0
09:44:58,42.15595,2.99038,6,yoigo,Yoigo,0,STATE_IN_SERVICE,1.5,5.0,27.0,gps,UNKNOWN,171766.0
09:45:28,41.45922,1.95219,19,orange,Orange,0,STATE_IN_SERVICE,0.0,6.0,64.0,gps,IN_VEHICLE,81960.0
09:46:07,41.32769,0.63841,10,Solo llamadas de emergencia,Solo llamadas de emergencia,0,STATE_IN_SERVICE,3.3,5.0,26.0,gps,IN_VEHICLE,250560.0
09:48:15,41.53089,2.29797,4,movistar,Movistar,0,STATE_IN_SERVICE,0.3,5.0,14.0,gps,ON_FOOT,82969.0
09:50:13,41.32708,0.63864,8,Solo llamadas de emergencia,Solo llamadas de emergencia,0,STATE_IN_SERVICE,1.0,6.0,12.0,gps,TILTING,250560.0
09:50:19,41.45904,1.95215,18,orange,Orange,0,STATE_IN_SERVICE,0.8,3.0,32.0,gps,TILTING,81960.0
09:51:01,41.78114,3.02961,9,vodafone,vodafone ES,0,STATE_IN_SERVICE,0.6,4.0,28.0,gps,ON_FOOT,171609.0
09:51:09,41.65141,2.18041,2,movistar,Movistar,0,STATE_IN_SERVICE,0.0,3.0,8.0,gps,UNKNOWN,80333.0
09:53:14,41.73342,2.13753,10,vodafone,vodafone ES,0,STATE_IN_SERVICE,61.0,4.0,29.0,gps,IN_VEHICLE,80641.0
