flight_id,fuel_usage,maintenance_check,baggage_errors,safety_incidents
FL6180-893,14417.749979495526,1,2,0
FL6770-263,11984.602343008257,1,6,0
FL3164-261,7680.272421102054,0,3,1
FL3600-769,14447.700831563792,0,3,0
FL4457-798,6842.644160779366,1,5,0
FL4989-363,8849.150625718887,0,4,0
FL6278-401,7998.779597444573,1,2,0
FL6825-441,8861.430791679984,0,4,0
FL5743-304,9235.097172242155,0,2,0
FL4049-163,5035.987132460477,1,1,2
FL9571-590,6639.38327927423,1,5,0
FL2836-999,7906.742587746167,0,5,0
FL5779-803,8211.943333506943,1,6,0
FL2939-748,14225.200426762278,0,3,0
FL1152-375,14159.785573215097,1,5,0
FL5390-173,17859.64407583361,1,6,0
FL7600-101,19501.11031908702,0,4,1
FL2233-676,9513.333967034343,0,6,1
FL6819-646,8619.186921271374,1,5,0
FL4250-920,10653.149271663777,0,7,0
FL7007-522,19702.694848796527,1,1,1
FL9898-621,14313.334113524681,1,5,0
FL2661-778,10395.98020383355,1,4,0
FL2295-330,17774.460224567454,0,3,2
FL8148-662,5339.018465927416,0,4,0
FL9190-407,16267.705178781587,1,3,1
FL6068-776,9369.267343904387,0,6,0
FL2570-862,9772.563369851636,1,3,0
FL9469-711,11679.73425143413,0,3,0
FL8625-146,7851.684816425155,1,3,0
FL8435-869,12806.351220618379,1,2,0
FL6665-123,18518.196043209104,1,4,0
FL7736-498,17087.529166060587,1,4,1
FL2113-564,7019.0438030310615,1,2,0
FL2882-712,18935.248995490205,0,3,0
FL9942-569,18628.54113572427,0,2,0
FL8462-491,19095.289851894457,0,4,0
FL2578-301,16392.60089409638,1,3,0
FL6837-359,9429.323818823616,1,5,1
FL1727-887,8563.409886006155,0,8,0
FL4587-943,12952.722035118044,1,5,0
FL5185-198,11564.472486204011,0,4,2
FL2611-176,14847.916558132089,0,2,1
FL4569-822,16111.881373192542,1,4,0
FL2269-298,18391.971524799465,1,4,2
FL2983-686,11900.97077858428,1,4,1
FL8411-843,13189.821056630073,0,5,2
FL2331-900,19359.063325843825,0,2,0
FL4441-811,14332.052829846303,1,6,0
FL6787-708,10970.797862815121,0,4,0
FL8507-674,9236.446713157755,0,5,2
FL4125-697,19407.29535239879,0,3,0
FL8181-866,8395.892866288059,0,4,0
FL8630-427,16645.033653413535,1,3,2
FL1140-144,10637.247509667894,0,8,0
FL8960-870,16320.071350342312,1,4,0
FL4516-484,8835.976854712848,1,6,0
FL2276-117,18860.065304060707,0,6,0
FL8819-326,7877.377641371835,0,3,1
FL4360-743,5532.655884531509,1,8,0
FL4751-478,18151.98447030064,0,2,0
FL3879-918,12404.625635069995,0,4,0
FL4237-232,11968.486457426661,0,5,0
FL3966-847,11496.712546703633,1,2,0
FL3576-869,7336.68110720546,0,3,0
FL3182-774,8890.525043847221,0,2,0
FL6168-546,10130.871623679388,0,3,0
FL6430-832,8228.894425504042,1,1,0
FL7211-483,16056.99866128071,0,7,0
FL7225-495,13941.561584495756,0,6,0
FL7003-159,12326.017752415964,1,3,0
FL2510-166,11934.625720761433,1,3,0
FL4375-367,6982.548597220276,1,2,0
FL6115-580,5781.169406941687,0,6,0
FL7358-748,5226.084256704194,1,6,0
FL4535-255,7496.873528384442,0,3,2
FL5699-902,12584.46117292227,1,3,0
FL1926-189,6022.616596141624,0,1,0
FL5871-858,14679.543319838693,0,5,0
FL7812-175,14848.736108854486,0,4,2
FL6254-254,12348.039198192706,1,5,0
FL2863-508,13567.50108184914,0,5,0
FL1209-980,7647.859029697323,0,3,0
FL5679-647,16094.953601296302,1,4,0
FL7416-948,10314.365406527693,1,1,0
FL7369-136,14194.128908293735,0,5,1
FL3103-568,15639.079581859472,0,2,0
FL2291-548,18095.86850718604,1,1,0
FL5906-225,10671.848448262332,0,3,2
FL3152-612,8795.565184355552,1,5,0
FL2980-536,7063.362104593336,0,3,0
FL6764-790,13234.899298867978,0,6,0
FL7399-106,8367.402146554037,1,5,0
FL2656-912,10978.74425504708,0,4,0
FL8068-403,11854.450867495541,1,3,0
FL9259-198,19259.52300833902,0,3,0
FL6209-696,13606.844147663389,0,5,0
FL4427-371,9316.8647497942,0,3,0
FL4573-975,12840.292428934355,0,3,2
FL8437-722,5805.934098670499,0,5,0
FL2316-328,11536.61815736755,0,3,2
FL6243-530,16837.57900328231,0,2,0
FL6019-763,16775.737806851474,1,1,2
FL1026-571,19526.804963061935,1,6,0
FL8958-523,17544.826688168927,1,4,0
FL9300-993,15266.172509630314,0,2,0
FL5742-486,6990.736796231164,1,1,0
FL4859-457,14130.902757423002,1,5,2
FL5957-616,7585.145932649698,1,3,1
FL6421-599,8788.584669836535,1,8,1
FL9359-108,5405.387297433734,1,2,2
FL7796-686,19287.37533518965,0,4,0
FL3007-314,16849.072106850268,0,5,0
FL8725-189,17967.87428061992,0,1,0
FL6912-136,13535.555621532987,1,4,0
FL3263-760,13190.722480955223,0,4,0
FL5265-546,19269.969853959035,1,2,0
FL8958-827,5632.124539363772,0,2,0
FL9872-910,16837.247813729082,1,7,0
FL8334-429,17487.191528838826,1,5,0
FL9998-103,7159.870670979452,0,3,0
FL4673-313,18261.95197689571,1,5,0
FL2260-395,17757.391214064228,1,1,0
FL8207-492,5343.153031609923,1,8,2
FL2882-487,9606.193713191356,1,5,1
FL3556-788,17302.00983309125,1,5,0
FL9213-358,6436.5690122002825,1,5,0
FL2760-809,8560.122115610207,0,4,0
FL2959-638,17711.163404053554,0,3,0
FL6519-119,12421.544917510852,0,3,0
FL7877-377,10477.539009317534,1,4,0
FL4384-462,10776.395728840247,0,2,2
FL5762-804,19248.349871546197,0,7,2
FL8154-421,18260.672724427903,0,4,0
FL2348-607,8380.88183058747,1,3,0
FL6009-975,13612.730734246634,0,3,0
FL5237-610,17471.1549044419,1,4,0
FL8117-856,8453.375454598176,0,2,0
FL8429-970,10881.546918943273,0,5,0
FL6324-652,12320.755535235076,0,2,0
FL6481-410,13845.15476900649,1,4,0
FL5153-989,11994.137000939863,1,4,0
FL4520-871,6495.420236990728,1,2,0
FL2587-329,15826.757443674074,0,3,0
FL8065-572,16852.671873533967,0,6,0
FL7258-534,19582.8478890416,1,3,0
FL7949-845,19929.636390000094,1,5,0
FL3794-528,9793.32341490089,0,2,0
FL8036-256,8766.19159098073,1,5,1
FL7056-510,8601.138412510663,0,6,2
FL4975-128,18365.025953347595,0,7,0
FL5311-793,13661.607531168282,1,4,0
FL4190-914,10907.68945532906,0,3,0
FL9833-989,11927.654795644576,0,7,0
FL5931-372,19069.261523089728,1,2,0
FL2342-913,7840.126384927103,0,1,0
FL8654-742,17235.12479277247,0,5,0
FL8670-801,6890.820850013901,0,3,0
FL6701-440,13119.385070049484,0,3,0
FL2761-870,14443.526325756415,0,5,0
FL6175-963,13646.467774815446,0,5,0
FL1985-572,15786.758672896498,0,3,2
FL1298-672,12256.585141365611,1,3,0
FL9692-454,6436.795992013421,1,2,0
FL2055-190,13303.31347210567,0,2,0
FL9745-916,15697.005898393754,0,4,0
FL7792-993,15447.587850619318,0,3,0
FL7193-862,9644.065642697491,1,4,1
FL9433-864,10083.081828663066,1,2,0
FL6286-209,14888.529250504258,0,3,0
FL8894-368,8851.083948025956,1,8,0
FL6785-865,16951.74576707316,0,3,0
FL4627-680,6753.993712821723,0,3,0
FL9287-176,14417.151378642955,0,3,2
FL7361-778,10099.745638038932,0,2,0
FL6611-686,18840.728024927474,0,2,0
FL5153-231,15367.430589975482,1,5,1
FL2927-851,13570.444773810219,1,7,1
FL9812-373,12107.837085297193,1,5,0
FL2055-433,8242.774646328871,0,5,2
FL7568-315,8400.30990272747,0,3,1
FL6325-644,8006.709238020849,1,5,0
FL5317-370,16922.885132804826,0,1,0
FL5417-789,15443.054729995598,1,6,2
FL5220-390,9657.079312665108,0,7,0
FL6415-224,13714.686953307875,0,2,0
FL3519-125,14447.940911924845,1,3,0
FL5853-666,18309.71943863066,0,4,0
FL3222-845,18963.315914755905,0,2,0
FL4884-677,5441.472102548372,1,7,0
FL8981-489,15150.692561384883,0,7,1
FL2417-712,5687.989536883135,0,7,0
FL2601-331,9492.94820466135,0,5,0
FL8351-317,14301.746112961224,1,2,0
FL5408-460,9901.692966961753,1,2,0
FL2514-999,18677.427607966725,0,3,1
FL4034-447,18909.512634311806,0,3,0
FL7284-849,8884.845787909817,0,4,0
FL2139-141,17877.046354573624,1,2,0
FL5953-938,9305.56506654864,1,5,2
FL8217-337,16258.006819629325,1,4,0
FL4116-543,6823.682179481328,0,2,0
FL7218-950,12280.959989050338,1,6,0
FL3623-880,19381.17113986671,1,7,0
FL9043-172,15036.917698293557,1,6,2
FL3104-642,6812.46924413338,0,3,0
FL9472-198,11202.908306482952,0,2,0
FL8506-496,17114.172202602145,1,5,1
FL8320-922,16531.07811532394,0,3,2
FL5498-411,13729.517867374647,0,2,0
FL2430-564,14990.748632762201,1,1,0
FL4271-962,7268.612437499434,1,5,0
FL9703-650,9567.339884908932,1,6,0
FL3804-196,17973.145319082672,0,7,1
FL6782-529,18930.260215935232,1,7,0
FL8814-956,6922.026174155263,1,3,0
FL5965-492,18942.088469630275,1,6,0
FL7970-499,8566.16449918834,0,1,0
FL9424-684,14289.998614575023,1,2,2
FL3535-228,19348.692989730298,0,6,0
FL2115-431,6454.606491304091,1,6,0
FL8932-840,17596.689265259673,1,8,0
FL2493-259,9168.572887276247,0,2,0
FL9052-764,9793.517486404562,1,2,0
FL9944-410,13402.935862158698,0,4,0
FL7118-536,6960.850373055123,0,2,0
FL1837-365,18122.689215682214,0,3,0
FL5942-613,18202.80091996891,0,6,0
FL3948-484,10645.058070117244,0,3,0
FL1284-453,17552.328148906192,0,3,0
FL7277-232,9571.718936622363,1,3,0
FL1952-818,14998.75947515507,0,4,1
FL6670-170,10707.681423724234,1,5,2
FL3674-775,14412.14402517408,1,3,1
FL7838-804,16503.098396357927,0,3,1
FL2491-653,13806.792766618575,1,2,0
FL3457-266,12159.861208335107,0,3,0
FL9132-769,10273.878664988288,0,4,0
FL2856-193,8628.27295511188,1,3,0
FL6130-276,13471.485191874704,0,2,1
FL6017-966,6654.426388053675,0,5,0
FL1222-912,12753.782734071992,1,3,1
FL6714-624,8843.25184324514,1,3,0
FL8034-974,15010.094204715519,0,4,0
FL6658-143,7132.1207062297635,0,5,0
FL4395-816,14492.099728034804,1,5,0
FL1826-199,12533.341579623022,0,3,0
FL7215-122,9046.634496088871,0,3,2
FL4276-200,5355.472911729166,1,7,2
FL7737-230,17876.11944439204,0,7,0
FL1594-399,18419.41459750381,1,4,0
FL8289-933,6443.530724871643,1,3,0
FL7011-387,18140.707985784673,0,2,0
FL2491-363,16941.968966432138,0,2,0
FL9834-479,16971.662400899357,0,4,0
FL4387-966,19961.91038971871,0,6,0
FL6674-672,12752.307028659161,1,4,1
FL4919-718,9427.083339270026,0,8,0
FL4962-971,13160.374349451084,1,2,0
FL8905-119,19821.467978531036,0,5,0
FL3536-109,9361.862888414733,0,2,0
FL4094-440,14053.974899457742,1,3,0
FL7391-519,16604.640275140016,0,3,0
FL8675-323,18282.86903857624,0,3,1
FL6495-676,12761.37093959292,0,4,0
FL4038-622,10654.585344024796,1,5,0
FL9678-836,12302.308784221685,1,5,0
FL7759-732,19666.806078339367,1,4,0
FL9060-376,14125.796192182368,0,3,0
FL3375-143,18007.383597969234,1,4,0
FL5620-875,6311.365641381005,0,2,2
FL8385-779,10922.070720047,0,4,0
FL7959-609,10832.071859196873,1,2,2
FL4232-723,13317.204120485632,1,4,0
FL9633-413,16987.135093626188,0,4,0
FL3509-187,11670.960596506,1,4,0
FL5355-891,6572.810345333806,0,3,0
FL8939-722,15617.50454461975,0,3,0
FL2311-805,18571.09646326523,0,4,0
FL6613-208,15284.98363195751,1,3,0
FL8947-735,5627.147076291287,0,3,0
FL8049-326,6404.31911711265,0,2,0
FL8502-482,7736.03815126321,1,2,0
FL8904-153,19657.276857438155,0,5,0
FL2074-264,15296.92907080713,1,2,0
FL5632-117,18568.63731599669,1,1,1
FL8300-846,9186.876445955819,0,6,0
FL5483-316,12004.516595978512,1,4,0
FL5866-984,18156.797997566067,1,1,0
FL6356-769,15159.283878943417,0,5,0
FL3909-105,8083.213430338934,1,5,0
FL5182-314,14576.078180801838,1,3,0
FL3098-683,11952.011286640412,0,5,0
FL4501-699,12999.529304245832,1,6,0
FL3589-544,14797.567821116705,1,4,0
FL3004-248,9890.732650729304,0,2,1
FL5146-234,10711.706979502618,1,3,0
FL8736-533,8036.077382781408,1,7,0
FL1636-392,5969.078917243357,1,4,0
FL4749-599,6473.934455862423,0,7,0
FL9793-785,5124.326232934047,1,6,1
FL2494-318,9495.986130147408,0,3,0
FL7888-832,7840.010507979998,1,3,0
FL3649-368,6649.980735238472,1,7,0
FL5758-921,13158.923371968487,1,5,0
FL2408-750,17271.36986812036,1,1,0
FL6783-738,17568.714956796677,0,4,0
FL8606-951,14099.099253332643,0,6,0
FL1835-450,19913.3314138911,1,2,0
FL1677-388,9398.157651278234,0,3,0
FL6047-897,5435.664912620178,0,2,0
FL1925-326,13909.911490531953,1,1,0
FL9498-648,9298.671802479415,1,3,0
FL6968-482,8538.020449067151,1,3,1
FL3073-669,15340.110204421551,0,8,0
FL6363-938,11822.526109681748,0,4,0
FL9366-388,9343.961066521382,1,2,0
FL5626-123,8528.82699811951,0,5,0
FL3177-433,12134.592811339291,1,8,0
FL7148-290,11756.761642351103,1,4,0
FL5979-867,11501.523990558493,0,3,0
FL2406-815,15900.870582343206,1,2,0
FL2392-621,15962.244902582814,0,1,0
FL2680-595,14487.054936056902,1,2,0
FL1319-961,12375.971229578834,1,3,0
FL4743-780,9722.723428112433,1,3,0
FL9963-591,12313.971682609308,0,4,0
FL6213-240,13990.124628163327,1,3,0
FL7021-149,11761.976138599945,1,6,0
FL8415-377,9720.291496097703,1,4,0
FL1804-825,17225.375367091037,1,3,0
FL1309-561,8199.914256351283,1,2,0
FL6797-490,13106.577451734222,1,9,0
FL4847-231,16120.045014132382,0,5,0
FL1961-133,19061.43228269589,0,1,0
FL9659-841,19263.969742075293,1,3,0
FL2153-141,7754.126735683743,1,3,0
FL1900-644,16573.172172940158,1,6,0
FL2604-166,11697.065490114557,1,5,0
FL9833-990,9266.007250214749,1,4,1
FL4499-930,8938.16027186194,0,4,1
FL5887-921,9037.988682403966,0,6,0
FL5574-279,7328.914177272032,1,4,0
FL6157-778,13595.04104111561,0,4,2
FL6901-733,11793.634595261952,0,4,0
FL8948-635,13662.865196058161,1,5,0
FL9967-391,14069.373260742428,1,4,0
FL5690-314,12800.935468667805,0,2,0
FL8906-953,8354.772678336645,1,6,0
FL2955-323,5608.42012671294,1,5,0
FL6598-377,9735.56089019002,1,6,0
FL2646-699,16239.461912360075,0,2,0
FL7367-670,6514.316043719835,0,1,0
FL7464-880,18081.48225314601,0,4,0
FL1804-759,12563.845165152943,1,2,0
FL9740-854,18482.47705994067,0,5,0
FL2502-641,7089.088153086858,1,7,0
FL8330-322,16717.67706485807,0,4,0
FL2911-981,13752.530283251714,1,2,0
FL3782-818,11890.070256388924,0,2,0
FL2030-351,6597.287215291035,0,6,0
FL7104-571,12932.5937600262,0,2,0
FL6130-612,13087.792965973738,0,2,0
FL1734-576,8624.816747800363,1,5,0
FL3984-133,19222.666723225033,1,6,2
FL3590-598,11412.914711790338,0,3,0
FL3023-529,11871.600091050144,0,2,0
FL4754-610,17825.820811484664,1,4,0
FL6411-956,15233.553458242273,1,4,0
FL7601-482,16851.581734143376,0,3,0
FL2089-324,12193.802988971709,1,5,0
FL6570-656,14050.97840007191,0,3,0
FL5529-536,12636.693444921522,1,5,0
FL6472-773,13288.360683268513,0,1,0
FL9480-588,6897.998400318782,0,4,0
FL4720-483,10668.740044890625,1,6,0
FL1982-737,8295.334330363308,1,2,0
FL3994-939,16428.849955505873,0,5,0
FL5949-584,14605.709116442269,1,4,0
FL2684-935,17401.247071222337,0,4,0
FL7175-676,10063.120436919035,1,6,0
FL7339-855,7649.057791359651,1,3,0
FL8519-836,18097.57777655594,0,1,2
FL8871-787,11229.723087843791,0,4,0
FL7194-910,14775.25413330021,0,3,1
FL2837-661,7268.722843441335,1,2,0
FL4087-674,6230.555526999533,0,8,0
FL8184-505,16015.208295844253,1,2,0
FL2157-269,17771.29250561691,0,2,0
FL5838-747,13779.546683939612,0,3,1
FL5714-559,6348.857697542597,1,1,0
FL3525-288,10781.406362517866,0,1,0
FL9725-485,17751.735364216707,1,5,0
FL8131-534,11756.050911812472,0,7,2
FL1570-492,18201.351683609,1,3,0
FL5961-733,5714.342876866632,0,5,0
FL6623-188,9902.591788471651,1,6,0
FL3660-779,12914.784947260847,1,2,0
FL3824-271,10013.676936068714,1,4,0
FL9513-971,11397.78213091422,0,5,0
FL9430-853,13345.570524992801,1,1,0
FL3152-544,16241.259030011446,1,5,0
FL2117-383,7057.8309653410015,1,7,0
FL9344-608,16801.021352628515,1,1,0
FL1533-499,9120.47838067479,1,8,0
FL4345-265,12996.755005128893,0,5,1
FL8620-603,8229.779940020115,0,1,0
FL8319-339,15999.005809864819,0,4,0
FL9393-768,6909.41708621769,0,4,2
FL3146-210,5972.139984382094,0,3,2
FL4016-250,17345.05214420914,1,2,1
FL5498-308,13266.633586629152,0,3,0
FL9728-308,7096.805005013603,1,2,0
FL6731-173,11172.655604482112,0,2,0
FL8667-943,5617.70654772584,1,2,0
FL1636-775,19719.227065476538,1,4,0
FL5299-399,13248.581872303967,1,6,0
FL4179-524,11585.129641260828,1,1,1
FL6691-325,18642.469965523924,1,2,0
FL8876-447,10750.941303540294,1,5,0
FL8108-249,5471.867288172284,1,4,0
FL5547-973,15196.083530801772,0,5,2
FL7736-885,9328.793777537252,0,6,2
FL1037-599,10849.154162351906,0,5,2
FL2499-209,16859.918239873383,0,5,0
FL6742-547,10676.796478498747,1,3,0
FL4457-680,6360.944240675218,1,5,0
FL9145-668,17113.632593278104,1,6,2
FL3948-183,6672.115788391892,0,6,0
FL3198-128,16295.13534044051,1,3,0
FL2624-772,6200.692604311493,0,4,0
FL4745-803,8068.496697389046,1,4,0
FL1715-234,7013.285880891111,1,8,2
FL4224-537,10230.979970817029,1,7,0
FL1365-796,19134.02541324529,0,2,2
FL9475-135,5399.157438301681,1,3,0
FL3657-852,16267.18807810828,1,5,0
FL5441-401,11841.42492109182,0,1,0
FL6368-407,19132.560358103838,1,3,0
FL1353-227,7941.058738536735,0,1,0
FL3663-427,6174.793666678069,1,5,0
FL1475-337,15027.309058317882,1,4,0
FL6351-179,18115.982636434717,0,4,1
FL2055-864,6450.825277810523,0,5,2
FL8425-554,6364.265471409428,1,6,0
FL7965-439,6933.0853026917,0,4,0
FL3460-868,17891.38065245497,0,2,0
FL5667-108,14816.937073703133,0,1,0
FL8237-461,8659.33716733519,1,6,0
FL1870-523,18572.773125946096,1,2,0
FL6371-792,17596.427889347797,1,6,0
FL2885-409,18831.993116925427,1,7,0
FL3293-277,6765.27614146974,0,4,0
FL4239-964,11553.618406654808,0,6,0
FL6768-692,11141.0812432828,1,6,2
FL4498-383,17808.297463658706,0,3,0
FL9989-931,13938.717719296252,0,2,0
FL5743-177,10398.830110487343,0,3,0
FL8469-760,13919.61462021375,0,5,2
FL5697-873,8912.21401019683,1,5,0
FL4191-407,8075.177083617573,0,5,0
FL9928-457,8718.7297890174,1,3,0
FL6479-475,19926.0714531533,1,2,0
FL9470-364,19189.590361653736,1,3,0
FL4806-732,5420.872261981196,0,3,0
FL4934-392,15316.075829289513,0,2,0
FL8923-876,12876.394680381738,0,3,0
FL4350-438,15955.772357194,1,4,0
FL6434-667,6342.734364542595,1,2,2
FL2099-922,6272.213725720969,1,3,2
FL4984-210,19119.544816929323,1,4,0
FL9225-544,10895.468021691007,0,3,0
FL8912-868,5315.306444593296,0,3,0
FL5374-909,13655.84048106981,0,6,0
FL6537-932,8557.937409821865,0,6,0
FL1836-566,17304.23465045877,0,3,0
FL2980-822,12145.47255963046,1,5,0
FL5529-267,11559.485592783742,1,5,1
FL9710-802,16139.173693502602,1,7,0
FL4769-791,7624.895065454461,0,5,0
FL6074-844,18301.86796769414,1,4,1
FL4306-481,17759.37107154318,0,5,0
FL4073-568,18476.013306860274,0,2,0
FL5855-650,17852.9899728989,0,2,0
FL8387-882,9873.431846833311,0,5,0
FL2637-266,5986.408487554625,0,6,2
FL1968-118,11394.880227218873,0,1,0
FL6057-862,6706.304799842441,0,6,0
FL5540-154,12432.454997455097,0,3,0
FL2736-207,17827.044691189185,1,3,0
FL8636-776,7918.9030549137315,0,4,0
FL6576-513,9987.082171033333,1,3,0
FL8241-562,19720.93580299498,1,5,0
FL1487-597,6319.967192133016,1,2,0
FL9075-134,17671.19326543944,0,1,0
FL8717-539,14851.3510490203,1,2,0
FL8295-320,8747.124170266296,0,4,0
FL6881-738,7970.775265705222,0,3,0
FL6922-495,6943.702168086644,1,7,0
FL2634-528,15258.93077506998,0,3,1
FL8764-169,16968.32149376736,0,4,0
FL7385-842,15579.487674442755,0,7,0
FL7010-917,9841.06217039636,0,3,1
FL3623-910,5804.1987944387965,0,2,0
FL6216-643,10082.696292105658,0,3,0
FL5876-793,6919.058567528259,1,2,0
FL3839-712,11988.653187700273,0,3,0
FL3909-942,11857.281416654161,1,7,1
FL5247-867,6419.509238839772,0,2,0
FL3792-436,5324.188056592355,0,2,0
FL2509-740,5704.452855725392,1,4,0
FL2375-831,7518.204613835389,1,2,0
FL5050-959,14918.122790708057,0,5,0
FL4870-445,14811.059361405412,1,2,0
FL1322-967,15564.758303054106,0,5,0
FL9495-447,7830.869794345608,1,3,0
FL3766-516,8056.602996954752,1,1,0
FL8074-938,11609.518831698324,0,2,0
FL4321-639,15590.505226035411,0,2,0
FL2788-644,8977.309809717015,0,4,0
FL9644-637,9737.635952505161,0,4,0
FL7942-616,19716.565639295193,1,2,0
FL6200-624,19306.093334936646,0,3,0
FL1818-972,14830.61325951746,0,3,0
FL7828-718,5505.389782561585,1,6,0
FL9895-227,11152.752876078437,1,5,0
FL6793-733,16848.94562035638,0,4,0
FL4312-426,9473.240879040804,0,3,0
FL5984-694,18842.176161611605,1,6,0
FL1043-343,14300.859014571866,0,5,0
FL6401-980,13252.439232114024,0,6,0
FL1412-232,9945.108980577592,0,5,0
FL3962-115,17792.523623329267,1,6,0
FL1832-967,19040.937328356777,1,4,1
FL8529-632,9209.248355140317,0,5,0
FL8442-132,6677.995895868392,1,2,0
FL7216-174,7305.542763636058,0,2,0
FL3602-413,15136.758364782501,0,7,2
FL1127-780,16786.907305191307,0,6,0
FL5346-573,14863.052999285514,1,6,0
FL8320-404,5071.97422207849,1,3,0
FL6524-888,6386.504482177588,0,3,0
FL5814-354,11144.073315538466,0,4,0
FL3572-880,13388.477210277999,0,3,0
FL2313-645,8248.079664404513,1,8,0
FL2128-265,6251.21008563584,1,5,1
FL4285-988,8165.52136781256,1,3,2
FL6662-316,11596.863220521733,1,5,0
FL6199-333,11133.547700812738,0,4,0
FL5238-907,17780.831874645897,0,3,0
FL8869-878,18530.213124929884,0,3,0
FL4840-630,13213.603624254112,0,6,0
FL5000-933,19851.45314515048,1,5,0
FL2296-391,6003.959700216898,0,3,0
FL9485-166,9111.05324249815,0,2,0
FL3508-379,6102.235880695967,0,4,0
FL1689-369,14720.46325413208,0,4,1
FL7896-743,7902.013940039607,1,4,0
FL7093-816,7182.7172219986915,0,2,0
FL8950-970,7503.993730833503,1,4,0
FL5463-426,16859.012567846723,0,4,1
FL6557-474,7080.322894023131,0,3,0
FL7532-335,10848.842156689623,1,3,1
FL3069-876,6579.500454811303,1,3,0
FL2340-101,8863.756634053758,1,7,0
FL1344-566,7146.353069545005,0,4,0
FL1712-757,12529.981213845447,1,4,0
FL2554-487,12000.065622924158,0,5,0
FL2185-310,11867.452799961597,0,6,0
FL7641-434,8753.46174456966,1,6,0
FL4341-463,18570.67480784379,0,3,0
FL1828-132,15906.341825760219,0,3,0
FL2602-102,5806.148230167046,0,4,0
FL4031-755,12330.149699999482,1,2,0
FL1972-229,7746.77528182553,1,5,0
FL3859-926,15915.577327658999,1,5,2
FL7416-763,15587.216038171826,0,3,0
FL3214-283,5582.441962919501,1,5,0
FL8428-830,5986.595791945238,0,1,0
FL2530-163,10053.737910691549,0,4,1
FL7892-984,14687.643830038332,0,3,0
FL1415-446,18567.75613348622,0,1,0
FL5202-757,11858.51672677246,0,3,0
FL2632-967,14082.176917440016,1,6,2
FL8409-477,10142.71988745407,1,7,0
FL9671-326,11037.403379802912,1,3,1
FL9027-745,8752.024481716726,0,5,0
FL8994-892,9650.63722070097,1,2,0
FL8921-861,5315.431961910751,1,5,0
FL1764-417,6436.093966862642,1,6,0
FL9961-601,8424.071032662468,0,6,0
