flight_id,passenger_count,seat_occupancy,customer_satisfaction,catering_score,entertainment_score,cabin_crew_score
FL3103-568,266,0.96,3,4,3,4
FL2291-548,167,0.98,5,3,4,4
FL5906-225,201,0.93,5,5,4,3
FL3152-612,250,0.92,3,5,4,5
FL2980-536,207,0.9,4,4,5,3
FL6764-790,299,0.9,4,5,5,4
FL7399-106,232,0.9,5,5,3,3
FL2656-912,165,0.95,5,3,5,5
FL8068-403,219,0.96,4,4,4,4
FL9259-198,160,0.92,3,3,4,3
FL6209-696,289,0.92,4,5,4,5
FL4427-371,230,0.98,5,4,5,5
FL4573-975,197,0.99,5,5,3,5
FL8437-722,280,0.95,3,5,3,4
FL2316-328,184,0.98,5,5,3,5
FL6243-530,171,0.99,3,4,4,5
FL6019-763,198,0.9,5,3,5,5
FL1026-571,291,0.9,4,3,5,4
FL8958-523,262,0.99,4,3,3,3
FL9300-993,264,0.9,3,4,5,5
FL5742-486,155,0.93,4,3,4,3
FL4859-457,222,0.97,5,4,3,3
FL5957-616,278,0.9,3,4,5,5
FL6421-599,290,0.9,5,5,3,4
FL9359-108,177,0.94,5,5,3,4
FL7796-686,189,1.0,3,4,4,3
FL3007-314,244,0.93,4,3,5,3
FL8725-189,164,1.0,4,4,5,5
FL6912-136,157,1.0,5,4,4,3
FL3263-760,266,0.94,3,4,4,3
FL5265-546,165,0.94,5,3,4,3
FL8958-827,155,0.94,5,5,4,4
FL9872-910,292,0.94,3,5,4,5
FL8334-429,244,0.99,5,3,5,4
FL9998-103,155,0.98,4,3,4,5
FL4673-313,259,0.94,5,4,5,4
FL2260-395,194,0.9,4,4,5,4
FL8207-492,278,0.97,4,3,4,5
FL2882-487,185,0.97,5,5,3,4
FL3556-788,198,0.92,3,3,4,5
FL9213-358,186,0.98,4,5,4,4
FL2760-809,249,0.97,4,4,5,3
FL2959-638,187,0.93,5,4,4,3
FL6519-119,212,0.97,4,4,3,5
FL7877-377,277,0.93,5,4,5,3
FL4384-462,170,0.92,3,5,4,5
FL5762-804,291,0.95,4,5,4,4
FL8154-421,159,0.98,5,5,5,3
FL2348-607,218,0.98,3,4,4,4
FL6009-975,211,0.97,4,5,5,5
FL5237-610,241,0.97,4,4,5,4
FL8117-856,160,0.94,5,3,5,5
FL8429-970,234,0.96,5,3,5,5
FL6324-652,283,0.97,5,4,3,3
FL6481-410,150,0.93,5,5,5,5
FL5153-989,245,0.99,3,4,3,4
FL4520-871,192,0.99,5,3,4,5
FL2587-329,251,0.98,3,4,5,3
FL8065-572,279,0.9,5,5,5,5
FL7258-534,275,0.92,5,5,3,4
FL7949-845,239,1.0,5,3,3,5
FL3794-528,193,0.99,4,4,3,4
FL8036-256,251,0.94,3,5,5,4
FL7056-510,292,0.96,3,4,5,5
FL4975-128,236,0.92,3,3,4,5
FL5311-793,299,0.94,5,4,5,3
FL4190-914,167,0.94,3,5,5,4
FL9833-989,240,0.94,4,4,4,3
FL5931-372,220,0.95,3,4,4,5
FL2342-913,167,0.99,4,5,4,4
FL8654-742,195,1.0,5,4,4,4
FL8670-801,211,1.0,5,4,3,3
FL6701-440,290,0.92,4,4,4,3
FL2761-870,190,0.91,4,3,3,5
FL6175-963,234,0.98,4,3,5,3
FL1985-572,195,0.97,5,5,3,3
FL1298-672,213,0.99,3,5,5,4
FL9692-454,151,0.92,4,5,3,4
FL2055-190,184,0.99,3,3,3,5
FL9745-916,152,1.0,5,3,4,4
FL7792-993,265,0.97,4,5,5,4
FL7193-862,166,1.0,3,5,4,3
FL9433-864,210,0.94,5,3,4,3
FL6286-209,170,0.99,3,3,3,3
FL8894-368,267,0.93,4,4,4,4
FL6785-865,218,0.96,4,5,3,4
FL4627-680,179,0.9,5,4,5,4
FL9287-176,163,0.93,5,3,3,3
FL7361-778,231,0.98,3,4,3,3
FL6611-686,280,0.93,4,5,5,3
FL5153-231,171,0.99,3,4,5,3
FL2927-851,286,0.96,3,3,3,4
FL9812-373,271,0.9,5,3,3,4
FL2055-433,243,0.97,4,5,4,4
FL7568-315,195,1.0,3,3,5,5
FL6325-644,188,0.96,5,4,4,5
FL5317-370,187,0.9,4,3,4,3
FL5417-789,289,1.0,5,3,5,4
FL5220-390,273,0.95,5,5,3,5
FL6415-224,194,0.91,5,3,4,3
FL3519-125,246,1.0,4,5,3,4
FL5853-666,221,0.96,4,5,3,3
FL3222-845,214,0.97,5,3,3,4
FL4884-677,277,0.99,3,3,4,3
FL8981-489,235,0.97,5,4,5,4
FL2417-712,285,0.93,3,3,4,4
FL2601-331,176,0.94,5,5,3,4
FL8351-317,264,0.94,5,4,4,5
FL5408-460,244,0.98,4,3,3,4
FL2514-999,279,0.92,3,4,5,3
FL4034-447,172,0.96,4,3,4,3
FL7284-849,291,1.0,3,4,3,3
FL2139-141,258,0.97,4,3,4,4
FL5953-938,229,0.99,4,3,4,3
FL8217-337,247,0.92,3,5,4,4
FL4116-543,240,0.91,3,5,5,5
FL7218-950,257,0.9,4,5,3,3
FL3623-880,290,0.92,4,5,4,5
FL9043-172,241,0.98,4,3,4,4
FL3104-642,151,0.99,5,3,5,4
FL9472-198,194,0.95,3,4,5,3
FL8506-496,269,0.98,3,4,4,5
FL8320-922,157,0.94,4,5,5,4
FL5498-411,202,0.97,5,3,4,5
FL2430-564,185,0.92,5,3,3,3
FL4271-962,279,0.9,5,5,3,5
FL9703-650,280,0.95,5,3,4,3
FL3804-196,296,0.95,4,3,4,5
FL6782-529,267,0.91,5,5,3,5
FL8814-956,207,0.92,5,5,5,3
FL5965-492,204,0.94,3,3,5,4
FL7970-499,193,0.93,4,5,5,3
FL9424-684,226,0.92,5,3,4,5
FL3535-228,242,0.99,5,5,3,3
FL2115-431,237,0.99,3,3,5,5
FL8932-840,300,0.97,5,5,5,3
FL2493-259,172,0.96,5,4,4,3
FL9052-764,293,0.94,3,4,4,5
FL9944-410,184,0.97,3,4,3,5
FL7118-536,153,0.92,5,3,4,4
FL1837-365,205,0.9,4,5,3,4
FL5942-613,292,0.96,3,3,4,5
FL3948-484,202,0.9,4,5,5,3
FL1284-453,184,0.97,3,3,5,3
FL7277-232,159,0.94,4,5,3,5
FL1952-818,295,0.95,4,4,4,4
FL6670-170,211,0.99,4,5,4,3
FL3674-775,203,0.9,4,4,4,3
FL7838-804,280,0.96,4,3,5,4
FL2491-653,174,0.94,5,4,4,3
FL3457-266,161,0.91,5,5,3,5
FL9132-769,239,0.9,3,3,4,5
FL2856-193,160,0.95,4,5,5,3
FL6130-276,269,0.98,4,5,4,4
FL6017-966,269,0.94,5,5,5,4
FL1222-912,165,0.96,4,5,5,4
FL6714-624,173,0.96,4,5,5,5
FL8034-974,181,0.92,5,4,4,4
FL6658-143,167,1.0,3,3,3,3
FL4395-816,249,0.93,5,4,5,3
FL1826-199,232,0.93,5,5,3,3
FL7215-122,209,0.99,3,5,3,4
FL4276-200,245,0.98,3,3,3,3
FL7737-230,296,0.96,4,4,4,5
FL1594-399,252,0.98,5,5,5,3
FL8289-933,210,0.95,5,5,4,4
FL7011-387,193,0.96,5,5,5,3
FL2491-363,218,1.0,4,3,5,5
FL9834-479,204,0.9,3,3,3,5
FL4387-966,250,0.93,3,3,4,3
FL6674-672,199,0.95,3,3,4,4
FL4919-718,276,0.98,4,5,4,5
FL4962-971,239,0.91,4,5,4,5
FL8905-119,217,0.93,3,5,3,4
FL3536-109,170,0.98,4,5,3,4
FL4094-440,292,0.98,3,5,4,5
FL7391-519,215,0.97,3,3,4,3
FL8675-323,208,0.96,4,3,4,5
FL6495-676,201,0.95,4,3,4,5
FL4038-622,299,0.91,4,3,5,4
FL9678-836,217,0.91,5,4,3,5
FL7759-732,188,0.96,4,5,3,3
FL9060-376,205,0.95,4,5,4,4
FL3375-143,194,0.98,3,3,5,4
FL5620-875,189,0.91,4,3,4,3
FL8385-779,173,0.91,3,4,5,5
FL7959-609,272,0.94,5,4,5,3
FL4232-723,153,0.95,3,5,4,3
FL9633-413,258,0.92,5,4,3,4
FL3509-187,226,0.92,5,4,4,4
FL5355-891,163,0.91,4,5,4,5
FL8939-722,272,0.97,3,3,3,5
FL2311-805,164,0.95,3,3,4,3
FL6613-208,188,0.94,5,4,4,4
FL8947-735,156,0.98,3,5,4,4
FL8049-326,158,0.98,4,4,5,5
FL8502-482,224,0.93,5,4,4,3
FL8904-153,251,0.98,3,3,4,3
FL2074-264,177,0.95,5,4,5,5
FL5632-117,156,0.98,5,4,4,4
FL8300-846,284,0.9,3,4,4,3
FL5483-316,238,0.95,3,4,4,3
FL5866-984,192,1.0,3,3,5,4
FL6356-769,288,0.96,5,4,4,4
FL3909-105,262,0.93,4,3,5,3
FL5182-314,249,0.97,5,4,4,3
FL3098-683,250,0.97,3,4,4,4
FL4501-699,234,0.9,5,3,5,3
FL3589-544,260,0.98,5,3,3,5
FL3004-248,235,0.95,4,4,4,5
FL5146-234,284,0.97,5,5,5,3
FL8736-533,284,0.94,4,3,5,5
FL1636-392,191,0.99,4,4,4,5
FL4749-599,238,0.95,5,4,5,4
FL9793-785,269,0.91,3,3,4,5
FL2494-318,212,0.93,3,3,4,4
FL7888-832,160,0.93,5,4,5,3
FL3649-368,271,0.95,4,4,4,4
FL5758-921,210,0.97,4,5,3,3
FL2408-750,163,0.98,3,4,5,3
FL6783-738,175,0.98,5,3,5,5
FL8606-951,201,1.0,3,4,4,5
FL1835-450,150,0.99,5,4,4,3
FL1677-388,219,0.91,5,4,3,4
FL6047-897,166,1.0,4,4,5,5
FL1925-326,186,0.94,3,5,4,3
FL9498-648,164,0.97,4,5,4,5
FL6968-482,206,0.92,4,3,5,5
FL3073-669,276,0.92,3,3,4,4
FL6363-938,271,0.91,5,5,5,5
FL9366-388,233,0.96,5,4,4,3
FL5626-123,261,0.97,4,5,5,4
FL3177-433,282,1.0,4,3,3,4
FL7148-290,272,0.93,3,5,4,3
FL5979-867,243,0.97,4,3,5,5
FL2406-815,188,0.9,4,5,3,5
FL2392-621,158,0.95,3,4,3,4
FL2680-595,261,1.0,5,5,4,3
FL1319-961,221,0.96,4,3,5,4
FL4743-780,199,0.96,3,3,5,5
FL9963-591,247,0.93,4,4,4,3
FL6213-240,173,0.91,4,5,4,3
FL7021-149,249,1.0,5,3,3,5
FL8415-377,292,0.92,4,3,3,3
FL1804-825,211,0.94,3,3,5,3
FL1309-561,252,0.98,5,4,5,3
FL6797-490,300,0.94,4,3,3,3
FL4847-231,257,0.93,5,5,3,4
FL1961-133,159,0.96,3,4,5,5
FL9659-841,297,0.94,3,3,3,3
FL2153-141,152,0.98,3,4,4,4
FL1900-644,243,0.96,5,3,4,3
FL2604-166,239,0.99,4,5,3,5
FL9833-990,267,0.94,4,3,5,5
FL4499-930,160,0.95,4,5,5,3
FL5887-921,265,0.99,5,5,5,4
FL5574-279,245,0.92,5,4,5,5
FL6157-778,177,0.91,5,5,3,5
FL6901-733,298,0.91,5,5,5,3
FL8948-635,242,0.98,4,3,4,5
FL9967-391,188,0.98,4,4,5,5
FL5690-314,234,0.93,3,4,4,5
FL8906-953,207,0.91,5,5,5,3
FL2955-323,228,0.97,3,5,5,4
FL6598-377,217,0.9,4,4,4,4
FL2646-699,227,0.94,3,4,4,5
FL7367-670,177,0.95,3,3,3,4
FL7464-880,291,0.99,4,4,4,4
FL1804-759,218,0.97,5,5,5,3
FL9740-854,231,0.99,5,5,4,4
FL2502-641,285,0.96,5,3,4,3
FL8330-322,152,0.91,4,3,4,3
FL2911-981,170,0.95,5,5,5,5
FL3782-818,151,0.91,4,5,4,4
FL2030-351,245,0.93,3,5,3,4
FL7104-571,154,0.99,3,4,3,3
FL6130-612,270,0.94,3,3,4,3
FL1734-576,278,0.94,3,5,3,3
FL3984-133,241,0.94,5,4,5,5
FL3590-598,217,0.98,3,4,4,5
FL3023-529,228,0.96,3,3,5,5
FL4754-610,235,0.94,5,5,4,3
FL6411-956,222,0.95,3,3,4,3
FL7601-482,199,0.92,5,3,5,4
FL2089-324,179,0.99,5,3,4,5
FL6570-656,262,0.96,3,5,5,4
FL5529-536,285,0.91,5,4,4,4
FL6472-773,158,0.91,5,4,4,5
FL9480-588,249,1.0,5,4,5,4
FL4720-483,212,0.93,5,3,3,4
FL1982-737,210,0.91,3,3,5,3
FL3994-939,198,0.97,4,4,4,5
FL5949-584,151,0.91,3,3,4,5
FL2684-935,283,0.92,4,3,3,4
FL7175-676,217,0.97,4,4,4,4
FL7339-855,151,0.97,4,3,4,4
FL8519-836,162,0.93,5,3,3,3
FL8871-787,169,0.94,5,3,3,5
FL7194-910,156,0.91,3,3,4,5
FL2837-661,208,0.96,3,3,5,4
FL4087-674,268,0.91,3,3,4,5
FL8184-505,218,0.96,3,5,3,3
FL2157-269,221,0.96,5,4,5,5
FL5838-747,184,1.0,5,4,4,5
FL5714-559,182,0.92,3,4,5,3
FL3525-288,176,1.0,3,4,3,5
FL9725-485,240,0.97,3,5,5,5
FL8131-534,281,1.0,5,4,4,3
FL1570-492,287,0.95,4,4,5,3
FL5961-733,277,0.9,5,4,4,4
FL6623-188,249,0.96,3,5,4,5
FL3660-779,176,0.93,3,5,3,4
FL3824-271,235,0.96,4,5,4,4
FL9513-971,291,0.99,4,4,5,4
FL9430-853,153,1.0,4,3,3,4
FL3152-544,205,0.93,3,5,4,3
FL2117-383,268,0.96,5,5,5,4
FL9344-608,178,0.93,5,5,5,5
FL1533-499,300,0.93,3,4,3,5
FL4345-265,262,0.97,5,3,4,5
FL8620-603,190,0.99,4,5,3,3
FL8319-339,284,0.98,5,4,3,4
FL9393-768,152,0.96,3,5,4,3
FL3146-210,279,0.9,3,3,4,5
FL4016-250,224,0.95,3,3,3,3
FL5498-308,222,0.99,4,5,4,5
FL9728-308,173,0.92,4,4,4,5
FL6731-173,182,0.97,4,4,5,5
FL8667-943,240,0.97,5,3,4,4
FL1636-775,181,0.94,5,5,5,4
FL5299-399,236,0.95,4,5,4,4
FL4179-524,172,0.95,4,4,3,4
FL6691-325,219,0.91,4,3,3,3
FL8876-447,253,0.95,5,5,5,3
FL8108-249,288,0.98,3,3,5,4
FL5547-973,253,1.0,5,5,4,4
FL7736-885,298,0.94,4,3,4,5
FL1037-599,268,0.9,4,4,4,5
FL2499-209,198,0.92,3,4,4,3
FL6742-547,244,1.0,5,5,4,3
FL4457-680,196,0.98,3,4,3,4
FL9145-668,259,0.97,4,4,5,5
FL3948-183,218,0.91,5,5,4,3
FL3198-128,264,0.98,5,5,5,3
FL2624-772,167,0.92,4,3,3,3
FL4745-803,238,0.92,5,5,4,4
FL1715-234,269,0.97,4,3,5,4
FL4224-537,238,0.92,5,3,3,5
FL1365-796,203,1.0,3,3,4,4
FL9475-135,209,0.91,5,5,5,3
FL3657-852,246,0.98,4,3,5,3
FL5441-401,190,0.91,4,3,5,5
FL6368-407,291,0.9,3,3,4,3
FL1353-227,180,0.96,4,3,5,3
FL3663-427,284,0.91,3,4,3,3
FL1475-337,244,0.99,5,4,4,4
FL6351-179,230,0.96,3,5,3,4
FL2055-864,264,0.96,5,4,3,5
FL8425-554,236,0.9,4,5,3,3
FL7965-439,157,0.9,3,4,4,3
FL3460-868,179,0.93,5,5,4,5
FL5667-108,150,0.96,5,3,4,5
FL8237-461,200,0.9,5,3,3,4
FL1870-523,156,0.96,4,3,5,4
FL6371-792,293,0.93,4,3,3,5
FL2885-409,263,0.99,3,4,4,5
FL3293-277,270,0.94,5,4,3,5
FL4239-964,256,0.9,5,3,3,5
FL6768-692,274,0.93,5,3,5,4
FL4498-383,164,0.98,5,3,3,5
FL9989-931,161,1.0,3,3,5,5
FL5743-177,173,0.99,5,3,5,4
FL8469-760,257,0.91,4,5,3,5
FL5697-873,293,0.99,3,3,3,3
FL4191-407,267,0.96,5,5,3,4
FL9928-457,281,0.94,5,4,4,4
FL6479-475,251,0.94,4,5,5,5
FL9470-364,157,0.9,3,4,5,4
FL4806-732,195,0.97,3,5,3,3
FL4934-392,185,0.96,3,5,5,5
FL8923-876,253,0.93,4,5,3,3
FL4350-438,299,0.94,5,5,3,5
FL6434-667,271,0.91,5,3,4,3
FL2099-922,221,0.93,4,5,5,4
FL4984-210,283,0.95,3,4,5,5
FL9225-544,246,0.9,4,4,3,4
FL8912-868,184,0.93,4,3,3,4
FL5374-909,244,0.93,5,5,4,4
FL6537-932,276,0.99,3,3,4,3
FL1836-566,207,0.99,5,5,4,5
FL2980-822,193,0.94,5,5,5,3
FL5529-267,220,0.97,4,5,4,4
FL9710-802,271,0.93,5,5,3,3
FL4769-791,223,0.95,5,5,5,5
FL6074-844,228,0.92,5,4,5,3
FL4306-481,179,0.92,3,3,3,3
FL4073-568,225,0.98,4,4,4,3
FL5855-650,159,0.93,4,5,5,5
FL8387-882,233,0.96,5,4,3,5
FL2637-266,267,0.91,4,5,4,3
FL1968-118,185,0.92,4,3,5,4
FL6057-862,295,0.93,3,3,3,5
FL5540-154,248,0.9,3,3,5,4
FL2736-207,167,0.93,3,5,3,3
FL8636-776,172,0.9,4,4,5,5
FL6576-513,205,0.99,5,5,4,5
FL8241-562,218,0.92,3,3,5,3
FL1487-597,170,0.94,5,5,4,3
FL9075-134,169,0.98,4,3,4,5
FL8717-539,261,0.97,4,3,5,5
FL8295-320,224,0.92,5,3,5,3
FL6881-738,183,0.95,4,4,5,4
FL6922-495,285,0.97,3,4,3,5
FL2634-528,247,0.9,5,5,5,4
FL8764-169,225,0.91,4,3,4,3
FL7385-842,295,0.91,3,3,5,4
FL7010-917,234,0.94,3,3,4,5
FL3623-910,164,0.95,4,3,4,5
FL6216-643,271,0.93,5,5,4,4
FL5876-793,228,0.95,4,4,3,3
FL3839-712,192,0.97,3,3,4,5
FL3909-942,296,0.91,3,4,4,3
FL5247-867,296,0.91,5,3,5,5
FL3792-436,237,0.96,5,5,5,5
FL2509-740,234,0.98,5,4,5,4
FL2375-831,160,0.98,5,4,3,3
FL5050-959,212,0.91,4,4,3,3
FL4870-445,290,0.94,4,4,5,4
FL1322-967,169,0.9,4,4,5,5
FL9495-447,291,0.94,4,4,5,5
FL3766-516,187,0.98,5,4,5,4
FL8074-938,275,0.99,3,3,4,4
FL4321-639,251,0.97,5,4,3,5
FL2788-644,191,0.92,5,4,3,4
FL9644-637,275,0.99,4,4,5,5
FL7942-616,201,0.91,4,3,3,5
FL6200-624,225,0.95,3,3,3,5
FL1818-972,231,0.99,5,5,5,3
FL7828-718,257,0.93,5,4,5,4
FL9895-227,265,0.99,5,3,5,5
FL6793-733,165,0.93,5,3,3,4
FL4312-426,158,0.92,3,3,4,3
FL5984-694,228,0.93,3,3,3,5
FL1043-343,204,0.91,5,5,4,5
FL6401-980,250,0.92,5,3,5,4
FL1412-232,188,0.92,3,5,5,4
FL3962-115,294,0.99,3,3,4,4
FL1832-967,199,0.93,5,5,5,4
FL8529-632,186,1.0,4,4,3,5
FL8442-132,282,1.0,3,3,5,3
FL7216-174,275,1.0,5,4,3,3
FL3602-413,289,0.9,4,3,5,5
FL1127-780,238,0.98,4,4,3,4
FL5346-573,241,0.98,5,4,3,5
FL8320-404,171,0.98,5,3,3,3
FL6524-888,286,1.0,3,5,5,4
FL5814-354,197,0.91,5,3,4,3
FL3572-880,235,0.92,5,5,5,4
FL2313-645,272,0.91,5,3,5,3
FL2128-265,215,1.0,5,5,5,4
FL4285-988,199,0.97,5,4,5,5
FL6662-316,281,0.98,5,3,4,5
FL6199-333,194,0.93,4,5,3,5
FL5238-907,289,0.99,4,4,5,4
FL8869-878,166,0.98,3,3,3,5
FL4840-630,233,0.99,5,4,4,5
FL5000-933,169,0.93,4,5,3,5
FL2296-391,176,0.91,4,5,4,5
FL9485-166,253,0.98,3,5,5,4
FL3508-379,202,0.98,5,3,5,5
FL1689-369,281,0.94,5,5,4,5
FL7896-743,163,0.91,3,5,4,3
FL7093-816,223,0.97,5,4,3,3
FL8950-970,220,0.91,4,5,4,3
FL5463-426,298,0.92,4,4,3,4
FL6557-474,166,0.99,5,4,5,4
FL7532-335,257,0.99,3,3,4,4
FL3069-876,223,1.0,5,3,3,3
FL2340-101,295,0.99,3,4,4,5
FL1344-566,154,0.98,5,3,4,4
FL1712-757,243,0.99,4,5,4,5
FL2554-487,196,0.97,5,5,3,3
FL2185-310,243,0.94,5,5,4,5
FL7641-434,235,0.98,5,5,3,5
FL4341-463,176,0.91,3,4,4,5
FL1828-132,157,0.98,5,4,5,4
FL2602-102,193,0.96,3,3,3,3
FL4031-755,166,1.0,5,5,5,4
FL1972-229,202,0.94,3,5,5,5
FL3859-926,201,0.92,4,4,5,3
FL7416-763,173,0.97,5,3,5,4
FL3214-283,280,0.93,5,4,3,4
FL8428-830,181,1.0,3,3,4,3
FL2530-163,178,0.92,5,5,5,5
FL7892-984,189,0.93,5,3,4,5
FL1415-446,187,0.95,5,5,4,4
FL5202-757,233,0.93,5,5,4,3
FL2632-967,204,0.91,4,4,5,4
FL8409-477,296,0.92,5,4,5,3
FL9671-326,173,0.93,4,3,3,4
FL9027-745,195,0.97,5,3,3,5
FL8994-892,242,0.99,5,4,5,4
FL8921-861,252,0.9,5,3,4,4
FL1764-417,267,0.97,3,4,4,5
